mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,           corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,          corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,          ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,           sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
0.348373,0.942789,0.141539,1.160395,0.001138,1.109604,0.036511,1.409786,-0.532236,-0.581646,0.067616,0.977633,0.056223,0.001633,0.037890,0.178320,0.221465,0.133304,0.011227,-0.062907,-0.110588,-0.146945,-0.025113,0.354132,-4.071131,-2.050227,-0.486129,0.608578,0.759384,0.127494,-0.454155,-0.362221,0.638445,1.646309,1.090919,-0.264909,-0.632662,0.019966,3.115890,1.273712,-0.057631,-0.417620,-0.322871,-0.394658,-0.558855,-0.396437,0.270889,1.173226,-0.970626,0.214940,-0.152346,-0.283983,-0.220106,-0.997829,-0.240023,0.844788,0.298520,-1.669847,-1.672322,-1.666244,-1.662695,-5.192994,-5.833617,5.197118,5.870314,Drive
0.642811,-0.329503,0.425594,-0.267081,0.265597,-0.351582,0.380763,-0.182429,-0.023141,-1.381409,0.383125,-0.345196,1.114159,1.247933,0.886641,-0.549770,-1.767023,-2.246611,-2.292232,-2.407242,-2.623401,-2.388547,-1.740304,-1.142923,-0.282150,0.174850,-0.031829,-0.348261,-0.112922,0.459455,0.935242,0.989809,0.809432,0.765444,0.770053,0.607458,-0.472790,-0.614629,0.223074,-0.466551,0.094695,-0.347959,-0.448714,-0.599929,-0.628373,-0.466854,2.394703,0.353758,-0.660754,0.150325,-0.284945,-0.366897,-0.417512,-0.123508,-0.525768,0.209092,0.535361,-1.595765,-1.608918,-1.601938,-1.591987,-3.637587,-2.292452,3.635044,2.214735,Drive
0.537995,-0.461807,-0.472750,-1.767022,-0.501289,-1.372457,-0.698666,-1.702491,-0.532236,0.617999,-0.522407,-1.644311,0.139497,0.114831,0.173169,0.178543,0.057485,-0.010356,0.050162,0.140601,0.133364,-0.031623,-0.145577,-0.066145,0.362121,0.624640,0.518415,-0.196753,-0.602865,-0.442113,0.002795,0.304790,0.291148,0.060282,0.044855,0.290112,-0.228761,0.198733,1.401739,1.188596,-0.095279,-0.376933,-0.553599,-0.544547,-0.420305,-0.101196,-0.627712,-0.836598,-0.818156,-0.922506,0.686762,0.638610,0.623308,-1.093991,-0.616776,1.462489,0.704613,-1.531512,-1.519582,-1.520311,-1.530417,-0.273234,-0.951486,0.245322,0.935135,Drive
-0.343336,-0.088948,-2.080669,-2.124828,-1.366500,-1.538099,-2.010699,-2.165217,0.995050,0.617999,-2.179025,-2.094509,0.249474,0.238541,0.144137,-0.053660,-0.065691,-0.034031,0.066954,0.124853,0.085450,-0.155612,-0.143138,0.083189,0.487979,0.577985,0.374260,0.351471,0.215527,-0.064833,-0.269404,-0.148495,0.140455,0.369332,0.311075,0.176018,-0.627783,-0.788029,-0.831119,-0.720537,-0.512474,-0.440655,-0.615861,-0.419505,0.003615,-0.669563,0.016122,1.314707,1.262374,0.258984,-0.245439,-0.542397,-0.468765,0.881965,0.813525,-0.304710,-0.286335,-1.443470,-1.449564,-1.448984,-1.442638,-0.454782,-0.527955,0.454066,0.513042,Drive
-1.590414,1.453181,-0.860235,-0.590490,-0.769336,-0.616281,-0.869741,-0.626861,0.485955,-1.781291,-0.701529,-0.437203,0.096189,0.294077,0.597558,0.551057,0.215873,-0.003009,-0.047946,0.212448,0.609573,0.684073,0.245533,0.048945,0.952600,1.209468,0.871504,0.545413,0.349237,0.165343,-0.068482,-0.046779,0.230218,0.382839,0.163942,0.003162,-0.624183,-0.748399,-0.856014,-0.662544,-0.494270,-0.464562,-0.614350,-0.543218,-0.500450,-0.284133,-1.006219,-0.584581,2.054190,1.690797,-0.998754,-0.923809,-0.811182,1.760685,0.865563,-1.832264,-1.550012,-1.334678,-1.328460,-1.328753,-1.335659,-0.109163,-0.029612,0.117475,0.039495,Drive
-1.603704,2.243551,-0.751672,0.370702,-0.698049,0.242249,-0.735519,0.575464,-0.532236,-1.381409,-0.597565,0.765096,0.131491,0.132009,0.177883,0.187407,0.105963,0.021604,0.002137,0.037142,0.061094,0.003391,-0.050558,0.044273,-0.583437,-0.982277,-0.693120,-0.103333,0.412311,0.794027,0.674801,0.108695,-0.361630,-0.196376,0.301990,0.609176,1.755575,1.716981,1.428100,0.098394,-0.417597,-0.390680,-0.351059,-0.514664,-0.431180,-0.044847,-0.153928,-0.930680,-0.913500,-0.346084,-0.692096,-0.645623,-0.561944,1.467564,1.854293,-0.639493,-0.983979,-1.288337,-1.282713,-1.284272,-1.289423,0.135015,0.045595,-0.137607,-0.046015,Drive
-0.649460,1.099079,-1.541729,-0.247216,-1.149040,-0.334524,-1.517932,-0.129252,1.504145,0.218117,-1.601104,-0.268312,0.133362,0.139963,0.299570,0.222160,-0.027278,-0.087023,0.065159,0.244276,0.294445,-0.001666,-0.356915,-0.462316,-0.677521,-0.123751,0.366351,0.389190,0.101313,-0.145748,-0.251598,-0.042677,-0.202866,-0.397525,-0.412760,-0.142547,-0.391306,-0.523922,-0.530693,-0.661937,-0.414592,-0.304939,-0.585915,-0.424704,-0.250612,-0.243698,-1.031322,-0.454551,1.453480,0.868166,-0.871396,-0.827991,-0.817983,1.093202,0.645019,-1.422597,-1.156144,-1.203903,-1.218181,-1.218871,-1.204797,0.052634,0.071968,-0.053598,-0.072687,Drive
-1.312688,-0.679630,0.805685,0.325203,0.651251,0.196728,0.202505,0.331589,0.995050,-0.981528,0.822188,0.283838,0.143587,0.644447,0.740961,0.137899,0.072537,0.782066,1.449277,1.609961,0.733953,-0.591252,-1.399556,-1.142591,0.633192,0.665724,0.337292,-0.405141,-1.165356,-1.509792,-1.638227,-1.528084,-1.259969,-0.831483,-0.465986,-0.418134,-0.410637,-0.688441,-0.768753,-0.452765,-0.435400,-0.439192,-0.078258,0.002081,-0.598899,-0.040344,-0.851131,-0.980806,0.300341,1.142497,-1.055439,-0.949158,-0.737764,1.001411,1.062715,-1.681382,-1.848552,-1.107190,-1.119446,-1.120085,-1.107976,0.091842,0.101487,-0.090637,-0.100036,Drive
-0.661834,-1.034762,1.470267,0.225962,1.412979,0.099123,1.126735,0.455604,1.504145,-1.781291,1.402874,0.321733,-2.383662,-1.341135,-0.259106,0.733138,0.509056,-0.048759,-0.169686,0.174133,0.983155,1.662104,1.161670,-0.674916,2.067117,3.536276,3.160667,1.690381,0.263276,-0.394610,-0.366251,0.069850,0.435549,0.040683,-0.926318,-1.570008,-0.378057,-0.592121,-0.462834,-0.037082,0.256946,0.775500,4.153666,4.314041,1.291597,0.915143,1.155123,-0.112359,-0.253579,-1.405686,2.647149,2.857095,3.043976,-1.538133,-1.187057,0.448965,0.542741,-1.050255,-1.062862,-1.063972,-1.051030,0.163743,0.125866,-0.164641,-0.125988,Drive
0.338915,-1.120912,1.616812,0.382205,1.595913,0.253835,1.567774,0.469263,0.485955,-1.381409,1.545781,0.492905,0.135914,0.162445,0.160135,0.192776,0.098898,-0.322279,-0.728929,-0.677543,0.111036,1.132641,0.902432,-0.895264,-0.156887,-0.159162,0.076786,0.574807,1.034846,1.287353,1.382394,1.198661,0.953566,0.596545,-0.152662,-1.025331,0.655302,1.808566,3.582035,0.997573,-0.354172,-0.444339,0.644029,3.155441,0.941442,-0.645420,-0.343206,-0.843128,-1.703266,-0.972725,0.707111,0.657937,0.756430,-1.036438,-0.678503,1.366334,1.093328,-0.970106,-0.965642,-0.967078,-0.971346,0.213715,0.191770,-0.213244,-0.189859,Drive
