mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,           corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,          corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,          ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,           sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
0.184456,-0.393870,-0.597278,-0.549055,-0.421730,-0.500953,-0.527163,-0.552637,-1.458039,-0.670642,-0.520283,-0.554585,1.024022,0.723102,0.372559,0.278754,0.249607,0.163485,-0.024217,-0.051350,-0.010976,-0.078470,-0.214349,-0.281045,-0.058943,-0.133678,-0.157992,-0.140324,0.005128,0.179661,0.269617,0.293583,-0.110457,-0.212991,-0.207302,-0.191325,-0.224746,-0.216420,-0.302915,-0.237058,-0.366054,-0.316031,-0.436132,-0.629186,-0.428135,-0.385501,-0.406339,-0.226296,0.482193,0.194654,-0.600162,-0.607188,-0.627711,0.974050,-0.075383,-1.259268,-0.371465,-1.654201,-1.672959,-1.661805,-1.645841,-6.309440,-5.819739,6.335671,5.868768,Drive
0.102596,-0.557237,-0.564324,-0.491663,-0.416956,-0.489800,-0.476480,-0.514409,-0.406339,-1.017798,-0.463373,-0.499809,-0.116269,0.193008,0.182424,0.157775,0.131358,0.058314,-0.084244,-0.129543,-0.134945,-0.204946,-0.283289,-0.299773,-0.096066,0.014728,-0.027316,-0.047992,0.089463,0.234520,0.292825,0.264287,-0.194843,-0.241137,-0.214434,-0.185859,-0.200680,-0.194297,-0.297025,-0.234059,-0.372630,-0.385056,-0.476523,-0.626531,-0.437881,-0.399010,-0.416259,-0.224431,-2.507982,-0.360563,-0.600138,-0.595925,-0.636685,2.909855,1.115645,-2.191976,0.033687,-1.599549,-1.595604,-1.594973,-1.595710,-0.861534,-2.399763,0.785603,2.302435,Drive
0.286243,0.286595,-0.445382,0.090948,-0.395116,-0.258714,-0.389566,0.189489,0.645362,-1.712110,-0.446379,0.095489,0.619244,0.439317,0.230558,0.149774,0.100989,0.007542,-0.083641,-0.077427,-0.013324,-0.025072,-0.113882,-0.164241,-0.223833,-0.207894,-0.175464,-0.150128,-0.026208,0.102786,0.122334,-0.058241,-0.518571,-0.321123,-0.224693,-0.162961,-0.227795,-0.214175,-0.275403,-0.224103,-0.230729,-0.185757,-0.278719,-0.482535,-0.427489,-0.400594,-0.415750,-0.221398,-0.247178,1.044623,-0.690697,-0.599577,-0.568744,-0.575447,1.397547,1.168215,-0.619573,-1.517063,-1.494934,-1.492370,-1.516249,-0.759140,-0.797380,0.688774,0.789393,Drive
0.270419,0.461828,-0.370617,0.057645,-0.377694,-0.277706,-0.361896,0.133427,-0.406339,-1.017798,-0.388482,0.111619,-0.203974,0.174187,0.276064,0.343209,0.336647,0.147671,-0.204244,-0.302917,-0.271072,-0.223315,-0.225255,-0.241054,-0.400378,-0.386071,-0.171958,0.044160,0.177704,0.325228,0.395124,0.432501,-0.090694,-0.191831,-0.180359,-0.161075,-0.217250,-0.206649,-0.272555,-0.144231,0.163142,0.202032,-0.282542,-0.568213,-0.420166,-0.393752,-0.397821,-0.212360,-0.397161,0.555573,-0.644932,-0.609549,-0.628072,0.459900,1.096136,-0.868343,-1.198726,-1.447461,-1.462236,-1.462514,-1.447880,-0.204320,-0.213118,0.175443,0.181315,Drive
0.315409,-0.275373,-0.499260,-0.404993,-0.405903,-0.469011,-0.553737,-0.400141,0.645362,0.370826,-0.491055,-0.417925,0.171352,0.496186,0.346566,0.234506,0.104321,-0.091148,-0.212060,-0.178016,-0.103529,-0.137286,-0.228357,-0.272804,-0.293908,-0.060755,-0.046665,-0.063356,0.042295,0.114125,0.292379,0.392883,-0.036373,-0.210058,-0.227731,-0.189954,-0.228272,-0.219219,-0.306440,-0.240282,-0.355585,-0.408067,-0.458708,-0.606461,-0.418516,-0.391337,-0.387159,-0.210812,1.328906,2.432733,-0.710538,-0.475289,-0.466961,-0.615376,-0.393650,1.417382,1.568159,-1.397267,-1.370930,-1.370392,-1.396181,-0.160934,-0.411288,0.125883,0.382675,Drive
-1.828292,0.713504,3.024129,0.624913,3.417145,0.141543,2.791786,0.489790,0.294795,-0.670642,2.583430,0.618076,-1.345038,0.110690,0.600104,0.660348,0.510376,0.734093,0.339273,0.039148,-0.100926,-0.159370,-0.246261,-0.249593,1.280693,0.661146,0.202668,0.107993,0.283143,0.550667,0.761946,1.169694,0.785003,-0.003016,-0.114047,-0.140321,-0.190519,-0.158594,-0.064051,-0.007684,-0.047694,-0.084001,-0.234749,-0.471602,-0.390695,-0.378254,-0.395218,-0.224441,-0.788230,0.054910,-0.580359,-0.593012,-0.616866,0.755356,0.028912,-0.940154,-0.112610,-1.223598,-1.250035,-1.251949,-1.224655,0.155158,0.074530,-0.153966,-0.074167,Drive
-4.129346,2.056625,3.309121,1.817084,4.003177,1.685690,3.699401,1.526965,-1.107472,-2.059266,3.758486,1.875800,-0.860834,-0.985361,-0.438933,-0.012377,0.854204,1.439794,0.036039,-1.243495,-1.397864,0.376182,2.598341,3.807437,5.528217,3.442583,1.228442,0.064647,-2.331971,-3.515367,-3.726966,-4.213912,-1.059595,1.177336,1.741820,2.289383,6.242828,6.328967,4.078247,0.684044,3.395097,0.208397,0.671055,1.017728,0.198916,0.425392,2.306335,1.179230,-1.901570,-1.110953,0.020634,-0.029931,-0.042491,-0.693251,-0.893418,0.888253,1.423809,-1.199390,-1.188466,-1.190234,-1.199619,0.162123,0.002449,-0.162223,-0.010202,Drive
-2.496780,2.364039,2.741178,2.165441,2.876294,2.306537,2.943430,1.799908,-0.756905,-1.712110,2.660617,2.223148,3.838133,-3.339482,-5.211201,-5.277143,-5.745858,-5.846713,-1.942755,0.527077,1.848734,3.750846,4.244788,3.242074,-0.081390,-0.081941,-0.097926,-0.068029,0.070702,0.272051,0.419463,0.609437,0.270584,-0.093817,-0.137867,-0.141883,0.803653,0.792823,4.120630,6.295388,5.277852,5.131419,3.532291,0.568931,1.740089,0.874354,2.401777,6.307368,0.793610,-0.070016,-0.580381,-0.610297,-0.603295,0.581438,1.039689,-0.415415,-0.931934,-1.152933,-1.124584,-1.125270,-1.154364,0.094432,0.156759,-0.099963,-0.158056,Drive
-0.238000,0.541392,1.156835,0.786798,0.602374,0.298501,0.341705,0.367426,0.294795,-0.323486,0.828004,0.717559,-0.891871,-0.307960,0.137911,0.317741,0.318662,0.112464,-0.178654,-0.111796,0.321744,0.583786,0.185048,-0.272969,-0.167761,-0.098452,-0.091819,-0.103717,0.017370,0.180420,0.277137,0.354069,0.014082,-0.185398,-0.204131,-0.190310,-0.225802,-0.217641,-0.272479,-0.096431,0.093156,-0.208949,-0.172438,0.621033,-0.054569,-0.277774,-0.264504,-0.179501,1.028725,-0.075161,-0.529734,-0.596814,-0.578653,-0.201394,1.003221,0.653170,-0.252413,-1.094605,-1.103304,-1.104977,-1.096756,0.173832,0.244692,-0.173302,-0.242459,Drive
0.427936,-0.411868,-0.507191,-0.787965,-0.407366,-0.525003,-0.477172,-0.762515,0.995928,1.065137,-0.502891,-0.763743,-0.332500,0.376064,0.224152,0.044947,-0.060948,-0.096805,-0.052212,-0.094935,-0.188843,-0.336454,-0.381749,-0.341211,-0.080877,-0.082390,-0.098250,-0.089443,0.042934,0.203859,0.286384,0.309211,-0.105445,-0.211359,-0.201172,-0.181864,-0.227963,-0.217878,-0.298527,-0.235426,-0.343098,-0.363578,-0.258512,-0.444176,-0.402863,-0.383839,-0.421488,-0.223304,0.135104,-0.917960,1.460198,1.443660,1.446296,-0.909063,-1.155613,0.176412,0.003683,-0.960581,-0.975995,-0.976813,-0.961366,0.138210,0.155682,-0.138802,-0.156897,Drive
