mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,           corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,          corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,          ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,           sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
0.429192,0.018723,-0.627967,-0.847204,-0.285793,-0.438816,-0.615817,-0.809080,0.349230,1.092673,-0.608002,-0.798882,-0.035637,-0.030328,-0.056030,-0.067427,-0.071942,-0.080627,-0.097852,-0.118347,-0.143904,-0.171519,-0.188850,-0.165100,-0.093488,-0.059571,-0.034932,-0.010758,0.002139,0.015163,0.018222,0.024582,0.027044,0.034232,0.033127,0.006236,-0.175409,-0.182935,-0.178833,-0.180623,-0.192578,-0.253087,-0.333262,-0.286924,-0.207395,-0.194368,-0.188342,-0.157863,1.369155,-0.613289,0.249498,-0.298870,-0.277953,0.538750,0.551914,0.041793,-0.035545,-1.719809,-1.720787,-1.718389,-1.717519,-14.337551,-14.387379,14.328221,14.352956,Walk
0.429918,0.016035,-0.628514,-0.844518,-0.285795,-0.438800,-0.616120,-0.807146,1.538638,1.925016,-0.608481,-0.796591,-0.035975,-0.030468,-0.056112,-0.067434,-0.071919,-0.080615,-0.097815,-0.118304,-0.143889,-0.171582,-0.188931,-0.165169,-0.093590,-0.059609,-0.034967,-0.010770,0.002137,0.015130,0.018196,0.024576,0.027067,0.034280,0.033198,0.006230,-0.175409,-0.182935,-0.178833,-0.180626,-0.192583,-0.253055,-0.333101,-0.286731,-0.207326,-0.194332,-0.188390,-0.157981,0.256129,0.122393,-0.338059,-0.397266,-0.395798,0.582535,0.822081,-0.498663,-0.631196,-1.705829,-1.705645,-1.704758,-1.705219,-4.084282,-3.485986,4.073438,3.566051,Walk
0.429142,0.014396,-0.625575,-0.846292,-0.285783,-0.438811,-0.613639,-0.808449,1.538638,1.508844,-0.605903,-0.798067,-0.035969,-0.030557,-0.056057,-0.067390,-0.071905,-0.080610,-0.097847,-0.118331,-0.143869,-0.171524,-0.188929,-0.165214,-0.093611,-0.059620,-0.034946,-0.010737,0.002188,0.015160,0.018195,0.024542,0.027023,0.034252,0.033212,0.006247,-0.175409,-0.182934,-0.178826,-0.180610,-0.192568,-0.253062,-0.333199,-0.286678,-0.207275,-0.194275,-0.188302,-0.157781,1.626531,-0.829571,0.817097,0.233524,0.258031,-1.011013,-1.078001,0.950819,1.055552,-1.689479,-1.693937,-1.693194,-1.688678,-2.745573,-2.788922,2.813805,2.822774,Walk
0.428555,0.018140,-0.626593,-0.849973,-0.285788,-0.438829,-0.615679,-0.811476,1.142169,0.260329,-0.606786,-0.801330,-0.035921,-0.030546,-0.056113,-0.067445,-0.071929,-0.080592,-0.097787,-0.118273,-0.143882,-0.171623,-0.189031,-0.165226,-0.093607,-0.059605,-0.034938,-0.010748,0.002151,0.015127,0.018187,0.024568,0.027057,0.034247,0.033154,0.006189,-0.175409,-0.182935,-0.178833,-0.180626,-0.192584,-0.253047,-0.333114,-0.286874,-0.207339,-0.194229,-0.188325,-0.158033,0.473615,-0.598298,0.197931,-0.307296,-0.280702,-0.100722,0.239313,0.379929,0.135962,-1.681327,-1.678840,-1.678538,-1.680842,-0.923371,-1.616698,0.899160,1.641089,Walk
0.428822,0.017529,-0.629897,-0.848794,-0.285800,-0.438824,-0.618303,-0.810960,0.745700,1.508844,-0.609689,-0.800331,-0.035924,-0.030531,-0.056101,-0.067442,-0.071929,-0.080593,-0.097799,-0.118290,-0.143881,-0.171570,-0.188934,-0.165170,-0.093626,-0.059667,-0.034986,-0.010752,0.002181,0.015171,0.018216,0.024578,0.027057,0.034247,0.033156,0.006208,-0.175409,-0.182935,-0.178833,-0.180629,-0.192590,-0.253085,-0.333179,-0.286885,-0.207429,-0.194377,-0.188349,-0.157974,0.544987,-0.632759,0.224867,-0.285346,-0.282009,-0.236817,0.570111,0.554915,0.010163,-1.659692,-1.660235,-1.660026,-1.659280,-0.586618,-1.048559,0.601233,1.087024,Walk
0.429977,0.016712,-0.627675,-0.846349,-0.285792,-0.438811,-0.614832,-0.808633,-0.047239,0.260329,-0.607743,-0.798202,-0.035959,-0.030579,-0.056130,-0.067442,-0.071909,-0.080576,-0.097805,-0.118336,-0.143935,-0.171580,-0.188876,-0.165073,-0.093598,-0.059611,-0.034956,-0.010759,0.002153,0.015138,0.018195,0.024572,0.027064,0.034265,0.033169,0.006194,-0.175409,-0.182936,-0.178833,-0.180626,-0.192600,-0.253017,-0.333127,-0.286905,-0.207316,-0.194325,-0.188374,-0.157962,0.366448,-0.128926,-0.241423,-0.468939,-0.441903,1.070830,0.687674,-1.239907,-1.121826,-1.647363,-1.647191,-1.646985,-1.647318,-0.451782,-0.255810,0.449862,0.262931,Walk
0.429008,0.018174,-0.629853,-0.846035,-0.285800,-0.438809,-0.617661,-0.807950,0.745700,-0.155843,-0.609655,-0.797894,-0.035931,-0.030514,-0.056066,-0.067428,-0.071934,-0.080605,-0.097808,-0.118291,-0.143877,-0.171581,-0.188978,-0.165205,-0.093651,-0.059601,-0.034901,-0.010748,0.002112,0.015095,0.018190,0.024599,0.027080,0.034255,0.033170,0.006222,-0.175409,-0.182936,-0.178834,-0.180627,-0.192598,-0.253079,-0.333208,-0.286937,-0.207283,-0.194281,-0.188389,-0.157972,0.717067,-0.418181,-0.011120,-0.450096,-0.403217,1.141226,0.705815,-0.964420,-0.873413,-1.635496,-1.632768,-1.632611,-1.635228,-0.299360,-0.535853,0.293764,0.548696,Walk
0.428533,0.014672,-0.629884,-0.841470,-0.285800,-0.438777,-0.618259,-0.803881,0.745700,0.676501,-0.609669,-0.793880,-0.035948,-0.030580,-0.056109,-0.067433,-0.071911,-0.080578,-0.097785,-0.118282,-0.143890,-0.171611,-0.189014,-0.165196,-0.093613,-0.059637,-0.035002,-0.010795,0.002156,0.015185,0.018285,0.024653,0.027067,0.034134,0.032938,0.006025,-0.175409,-0.182935,-0.178834,-0.180628,-0.192595,-0.253101,-0.333262,-0.286901,-0.207410,-0.194371,-0.188384,-0.158033,0.805259,0.328884,-0.422077,-0.315580,-0.314076,0.217553,0.318673,0.185407,0.071447,-1.614637,-1.615602,-1.615492,-1.614490,-0.206962,-0.284071,0.211031,0.294762,Walk
0.430650,0.015562,-0.622453,-0.842562,-0.285766,-0.438786,-0.611639,-0.805383,-0.443708,0.676501,-0.603150,-0.794867,-0.035918,-0.030533,-0.056099,-0.067443,-0.071935,-0.080600,-0.097798,-0.118278,-0.143868,-0.171569,-0.188942,-0.165147,-0.093643,-0.059654,-0.034968,-0.010746,0.002161,0.015131,0.018186,0.024576,0.027077,0.034265,0.033158,0.006204,-0.175409,-0.182935,-0.178829,-0.180619,-0.192444,-0.252895,-0.333249,-0.286780,-0.207391,-0.194172,-0.188064,-0.157800,0.983483,-0.430763,-0.000694,-0.435955,-0.395669,1.056885,0.304293,-0.840337,-0.570959,-1.601139,-1.605037,-1.604988,-1.601111,-0.114832,-0.104368,0.115852,0.107078,Walk
0.429659,0.017659,-0.623453,-0.850098,-0.285772,-0.438830,-0.613618,-0.811644,1.538638,1.508844,-0.604041,-0.801466,-0.035981,-0.030635,-0.056134,-0.067435,-0.071902,-0.080570,-0.097769,-0.118242,-0.143863,-0.171649,-0.189116,-0.165258,-0.093653,-0.059640,-0.034947,-0.010738,0.002167,0.015147,0.018191,0.024564,0.027061,0.034257,0.033151,0.006190,-0.175409,-0.182935,-0.178832,-0.180617,-0.192576,-0.253052,-0.333183,-0.286967,-0.207381,-0.194306,-0.188377,-0.157909,1.073393,-0.772837,0.566184,0.002846,0.013273,-0.871201,-0.444568,1.125931,0.638052,-1.592915,-1.590693,-1.590653,-1.592779,-0.074452,-0.200606,0.071252,0.204765,Walk
