mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,             corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,             corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,             ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,             sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
-0.004700,-0.959517,0.048638,0.267536,-0.193922,0.105518,0.007032,0.217925,0.359720,0.723567,0.020986,0.243215,4.001989,2.055332,-0.274350,-0.799319,-0.279227,0.378303,1.302563,0.069882,-1.029594,-0.869812,0.031806,0.662909,0.740331,0.851932,0.150953,-1.397365,-1.164170,-0.410680,-1.156884,-0.120020,1.904462,1.470224,0.803461,0.149763,-0.301502,-0.304871,-0.344969,-0.466467,-0.407353,0.115588,0.207288,-0.273118,0.366608,0.442841,-0.210819,0.373504,0.722253,-1.009207,1.185147,-1.036628,-0.927681,1.302151,1.761281,-1.626855,-2.106033,-1.651055,-1.671189,-1.649586,-1.634431,-4.651274,-4.482158,4.689870,4.479427,Drive
0.305219,-0.146434,-0.691994,-1.436330,-0.725388,-1.249244,-0.647993,-1.211023,-0.085648,0.723567,-0.698089,-1.461406,0.119009,-0.075437,0.015636,0.157551,0.171349,0.069061,-0.153183,-0.209075,-0.078936,0.063390,0.144150,0.214396,-0.089676,0.089327,0.294220,0.416439,0.216595,0.197000,0.116426,0.172376,0.006483,-0.012801,0.039972,-0.056682,-0.298009,-0.294576,-0.314510,-0.661606,-0.605916,-0.743568,-0.375040,0.060145,0.293884,-0.172885,-0.504340,-0.180541,0.610093,-0.685644,0.681590,-0.805079,-0.791241,1.321561,0.939933,-1.053003,-0.855731,-1.509783,-1.523807,-1.522353,-1.508748,-1.184574,-1.337859,1.075889,1.326364,Drive
0.377611,0.064899,-1.077268,-1.741382,-0.894880,-1.377988,-1.069131,-1.628286,-0.085648,1.524109,-1.069234,-1.750986,0.086482,0.051476,0.070510,0.105756,0.098096,0.109675,0.125330,0.073274,-0.050507,-0.122608,-0.119774,0.030520,-0.084347,0.102036,0.360426,0.449221,0.178074,0.171304,0.066747,0.070333,-0.013828,-0.083868,-0.085736,0.004249,-0.301364,-0.310684,-0.396357,-0.667105,-0.647684,-0.695703,-0.754348,-0.306731,-0.444174,-0.589527,-0.640869,-0.598699,-0.521610,-0.590481,0.455325,-0.708559,-0.715051,0.311569,0.943025,-0.257333,-0.650337,-1.391867,-1.367612,-1.368866,-1.390425,-0.319606,-0.906115,0.268269,0.921771,Drive
0.285522,-0.526895,-1.072284,-1.755751,-0.893155,-1.383200,-1.069038,-1.574840,-0.085648,1.924380,-1.064457,-1.754604,0.117932,0.026806,-0.041978,-0.022224,0.022491,0.071866,0.132937,0.051557,-0.039981,-0.073466,-0.019195,0.113250,-0.107484,0.075570,0.296471,0.398562,0.166247,0.200502,0.099424,0.150548,0.064275,0.071732,0.153128,0.088329,-0.299066,-0.313844,-0.389864,-0.657240,-0.658785,-0.700013,-0.730726,-0.625921,-0.500868,-0.583724,-0.493693,-0.600970,0.460803,0.940843,-0.914982,0.921826,0.891038,-0.945703,-0.994565,0.764293,0.661544,-1.207599,-1.228568,-1.230870,-1.210335,-0.098704,-0.048978,0.089362,0.057980,Drive
0.227278,-0.189912,-0.828238,-0.085249,-0.793692,-0.263500,-0.736543,-0.338040,0.805087,0.323296,-0.828510,-0.136075,0.089040,0.129067,0.173531,0.107975,-0.001755,0.018437,0.032522,-0.054124,-0.063273,0.028314,0.142371,0.223518,-0.219293,0.386353,0.515526,0.051476,-0.535622,-0.589270,-0.131394,-0.114169,-0.269493,-0.051330,0.191615,0.312816,-0.295813,-0.310982,-0.395321,-0.538848,-0.354286,-0.157680,-0.351471,-0.667676,-0.523584,-0.422666,-0.491007,-0.475133,-0.172361,0.153774,-0.321588,0.031085,-0.023226,-0.423982,-0.435389,0.720024,0.629356,-1.104506,-1.065857,-1.069445,-1.106176,0.122006,-0.064527,-0.126286,0.083735,Drive
0.341731,0.391895,-0.908947,-0.021328,-0.829837,-0.200067,-0.834621,-0.129374,1.695822,-0.076975,-0.907247,-0.053733,0.075267,0.243826,0.276319,0.106409,-0.087592,-0.253777,-0.308468,-0.115490,0.103406,0.270582,0.362739,0.248483,0.741013,0.356237,0.137367,-0.158471,-0.043184,0.271941,0.374972,0.187770,-0.344864,-0.282113,-0.556548,-0.269026,-0.299936,-0.302418,-0.385093,-0.597763,-0.618720,-0.736147,-0.785463,-0.273729,-0.508266,-0.310987,0.165148,0.819858,1.736119,2.580656,-1.342725,2.851205,2.844053,-1.147453,-1.276870,-0.055064,0.178999,-0.996966,-0.993021,-0.996491,-1.000669,0.153528,0.196704,-0.157951,-0.198142,Drive
0.117738,0.027342,-0.625088,0.319280,-0.688494,0.163530,-0.643112,0.127900,0.805087,-0.877517,-0.630310,0.263052,-0.980331,-0.786792,0.041842,0.469891,0.490825,0.240329,-0.212389,-0.226940,-0.046243,0.023090,-0.040352,-0.155393,0.374015,0.566482,0.914792,0.750015,1.335912,1.123507,0.786979,0.430880,-0.726667,-1.036858,-1.194008,-0.930865,-0.301298,-0.308211,-0.351482,-0.491597,-0.596692,-0.519449,-0.105468,-0.262440,-0.514386,-0.567217,-0.642211,-0.528715,-1.021769,0.293210,-0.338732,0.194519,0.133076,-0.682773,-0.593553,0.936833,0.721206,-0.821688,-0.804058,-0.807228,-0.824369,0.199435,0.190639,-0.197883,-0.185722,Drive
-1.791620,1.626656,0.973847,1.227122,0.850080,1.343125,1.076180,1.762649,-0.976382,-2.078330,1.043476,1.284202,-0.323580,-0.754071,-0.433800,0.261751,1.019166,1.922487,2.016019,0.457492,-0.760429,-1.199180,-1.140279,-0.541346,-0.346696,-0.047051,0.473580,0.516738,-0.633366,-0.661037,-0.139865,0.329598,-0.134003,0.150150,0.643469,0.469342,1.958333,1.930520,1.862468,2.285176,0.025599,-0.661275,-0.488262,-0.387325,0.369771,1.363046,2.155808,-0.154885,-1.389521,-0.308545,-0.595010,-0.228051,-0.319177,0.392765,-0.397092,0.448973,1.110052,-0.695069,-0.709943,-0.714027,-0.698755,0.260939,0.294408,-0.255980,-0.295149,Drive
-1.837158,1.555180,1.133126,0.008404,1.072408,-0.170044,1.326049,0.421571,-0.976382,-0.877517,1.195361,0.130264,-0.971861,-0.471960,1.030335,1.536874,1.839403,1.274804,-0.538989,-1.518076,-0.979171,-0.421738,0.333198,0.569306,0.018802,0.443697,0.981195,1.481426,1.038503,0.546613,0.266313,-0.084996,-0.566368,-0.437811,-0.032633,0.144439,-0.273901,-0.303315,-0.298007,0.430333,2.549941,3.081913,0.656223,-0.525453,-0.393504,-0.388500,-0.316846,-0.330684,-1.321700,-0.819727,0.939429,-0.799502,-0.871988,0.719551,0.992093,-1.130990,-1.185022,-0.615828,-0.632746,-0.636144,-0.618906,0.253301,0.284823,-0.249849,-0.286630,Drive
0.672168,-1.792738,0.570575,0.377410,0.343122,0.229889,0.626611,0.304218,-0.976382,-0.477246,0.523083,0.452422,0.131846,-1.030364,-3.061125,-3.970550,-4.034202,-3.235210,-0.488578,2.018220,2.541307,2.283141,1.651074,0.588809,-2.771610,-3.131119,-3.538630,-3.138222,0.552798,1.156430,1.443887,1.103676,-0.324371,-0.532068,0.055533,0.315915,-0.301490,-0.310196,-0.379616,-0.431891,-0.577185,-0.228220,0.983897,-0.464558,-0.533995,-0.533585,-0.470215,-0.464291,-0.230999,0.025684,-0.306905,-0.152342,-0.087390,-0.542672,-0.402249,0.862188,0.714716,-0.457357,-0.418925,-0.420573,-0.458654,0.235854,0.234155,-0.233139,-0.231765,Drive
