V, H 
0.114912,-0.079051
0.038558,-0.013541
-0.004172,0.015384
-0.016245,0.009208
-0.016773,-0.004213
-0.001367,-0.006837
0.040584,0.001286
0.084837,0.016996
0.101254,0.031311
0.098830,0.027425
0.029916,0.037623
0.032483,0.007000
0.025206,-0.010879
0.008665,-0.005696
-0.015624,0.008183
-0.036458,-0.008138
-0.067505,-0.032482
-0.057598,-0.040081
0.001425,-0.015847
0.060521,0.025023
0.095675,0.028767
0.041181,0.046517
-0.017687,0.028289
-0.033188,-0.009855
-0.008937,-0.033404
0.011598,0.019874
0.016181,0.028466
-0.001025,0.021245
-0.020143,-0.001909
-0.014448,-0.022363
-0.011903,-0.011121
0.015648,-0.002577
0.013584,0.001122
-0.002184,-0.004110
-0.011312,-0.005524
-0.024407,-0.017094
-0.024207,0.007913
-0.010998,0.013794
0.011765,-0.002853
0.020954,-0.014394
0.000373,0.004576
-0.028659,0.018497
-0.038314,0.014425
-0.014433,-0.003345
0.028250,-0.015017
0.047557,-0.017959
0.036330,-0.011182
0.009391,-0.002170
-0.008167,0.003942
-0.014541,0.004955
0.000281,-0.009686
-0.015317,-0.009236
-0.024019,-0.005957
-0.011220,0.001295
0.015834,0.007457
0.054745,0.015932
0.050802,0.008335
0.023691,-0.000522
-0.013082,-0.005466
-0.035054,-0.004357
-0.065648,-0.007453
-0.038156,0.001665
-0.011460,0.010395
0.007437,0.013507
0.019794,0.001705
0.037527,0.019242
0.025034,-0.007189
0.000208,-0.010780
-0.016376,0.000885
-0.011565,0.008762
0.011857,-0.013004
0.019635,-0.013415
0.018073,-0.006330
0.003465,0.003938
-0.019127,0.007673
-0.008181,-0.028975
0.014139,-0.019326
0.023855,-0.000595
0.003266,0.011716
-0.020469,0.009184
-0.050547,0.016705
-0.029365,0.008480
-0.003490,0.002346
0.010619,-0.002305
0.011127,-0.003383
0.002855,0.009447
0.006519,0.003388
0.007006,-0.001767
0.005009,-0.001720
-0.000790,0.000253
0.006535,-0.002842
-0.011791,-0.001799
-0.012053,0.003871
0.002067,0.004853
0.012139,-0.002510
0.016835,-0.019770
0.008085,-0.009495
0.001499,0.001799
-0.002782,0.005722
-0.004857,0.003598
-0.021440,0.003200
-0.017401,-0.000227
-0.014456,0.001609
-0.004828,0.003280
0.012179,-0.000369
0.011037,-0.015524
0.013565,-0.014156
0.011028,-0.008495
0.003486,0.000360
-0.009041,0.010212
-0.002508,0.014226
-0.004466,0.003588
-0.000136,-0.009279
0.005051,-0.010909
0.004421,0.001095
0.007111,0.018261
-0.001969,0.018099
0.000991,0.000790
0.008638,-0.014126
0.003360,-0.009940
0.000314,0.021096
-0.004450,0.026921
-0.001399,0.014818
-0.007595,-0.006886
-0.009343,-0.020123
0.022787,-0.014730
0.071613,-0.000474
0.090066,0.005821
0.067874,-0.001899
0.032210,-0.017199
0.011191,-0.027914
0.016088,-0.025469
0.037423,-0.012334
0.058115,0.000910
0.065850,0.006488
0.030693,0.011880
0.001323,0.004578
-0.023595,-0.003091
-0.022375,-0.004663
0.006325,0.000070
0.023656,-0.001362
0.030047,-0.001724
0.007138,-0.000587
-0.018607,0.000120
-0.019023,-0.001328
-0.001337,-0.018725
0.010791,-0.002695
0.006550,0.009824
-0.000630,0.003706
-0.005104,-0.006709
-0.001913,0.000965
-0.005985,0.007693
-0.000753,0.006050
0.006263,-0.001190
0.003892,-0.006457
-0.008033,-0.012900
-0.006702,-0.003900
0.001605,0.011905
0.003721,0.019730
-0.000293,0.003676
0.003957,-0.000558
0.013414,-0.026949
0.014066,-0.023741
0.000018,-0.000102
-0.014568,0.021491
-0.010986,0.036909
0.005437,0.029915
0.017373,0.013521
0.011423,-0.002737
-0.006989,-0.015282
0.007603,-0.032485
-0.006453,-0.032645
-0.007941,-0.016186
-0.002302,0.005651
0.003499,0.019108
-0.009646,0.008361
0.001655,0.009326
0.002800,0.007845
-0.003157,0.002071
-0.003019,-0.006840
-0.018481,-0.010165
-0.013953,-0.009155
-0.005020,-0.003367
0.004435,0.004379
0.006881,0.007205
0.004272,-0.006483
0.007843,-0.011502
0.008217,-0.004216
0.001698,0.007533
-0.006507,0.008512
-0.001637,0.002293
-0.003045,-0.004241
-0.001923,-0.004097
0.001651,0.000753
0.003793,0.005845
-0.003862,0.023498
-0.007743,0.005849
0.000657,-0.012574
0.012932,-0.014031
0.007262,0.001632
-0.005396,-0.001057
-0.012452,0.008181
0.002931,0.007658
0.016744,0.000248
0.007554,-0.007282
-0.014421,-0.013153
-0.026364,-0.006657
-0.020677,0.007213
-0.003405,0.016020
0.018165,0.003737
0.023723,0.012903
0.018982,-0.001415
-0.001444,-0.004860
-0.016032,-0.005179
-0.009501,-0.000411
0.001495,-0.028339
0.013310,-0.013380
0.013670,0.001635
0.002847,0.011582
-0.011176,0.007159
0.002106,0.022460
-0.002698,0.016575
-0.009353,0.017791
-0.009140,0.006794
0.002676,-0.015789
0.006909,-0.039216
0.015854,-0.020692
0.011980,0.009031
-0.002238,0.017732
-0.014014,0.002586
-0.005377,-0.013844
0.003225,-0.007831
0.002762,0.002659
-0.004133,0.004010
-0.004777,0.000123
0.003484,0.011660
0.005857,0.011841
-0.007460,0.003254
-0.019618,-0.005401
-0.005091,-0.006422
0.016384,-0.013070
0.027684,-0.007713
0.007992,-0.003288
-0.014720,-0.005521
-0.015311,-0.002908
0.019670,-0.009738
0.013866,0.017826
-0.008044,0.025834
-0.020670,0.011822
-0.008042,-0.013939
0.022890,-0.041543
0.051883,-0.058273
0.061819,-0.058759
0.051990,-0.049909
0.039721,-0.038082
0.018829,0.001051
0.026177,0.008210
0.021130,0.007915
0.001199,0.003023
-0.019058,-0.005032
0.004545,-0.024594
0.003527,-0.028672
0.006063,-0.021554
0.001069,0.000022
-0.008502,0.023425
-0.020200,0.026137
0.001140,0.011778
0.011422,0.000670
0.001047,-0.002654
-0.010494,-0.005440
-0.023363,-0.024034
-0.002175,-0.015274
0.007562,-0.002908
-0.004584,0.008023
-0.012542,0.010817
0.011739,-0.000658
0.053775,-0.024686
0.074360,-0.051781
0.063369,-0.065768
0.038877,-0.056650
0.005846,-0.035024
-0.032109,-0.013589
-0.050990,0.011082
-0.048498,0.031024
-0.052655,0.015244
-0.067678,-0.038759
-0.071197,-0.080184
-0.058596,-0.065951
-0.049847,-0.014166
-0.056429,0.021354
-0.050531,0.068757
-0.035762,0.029176
-0.009123,-0.001130
0.010716,-0.010550
0.018979,-0.009632
0.031372,-0.023017
0.016055,-0.021019
0.000555,-0.013995
-0.006196,0.001463
-0.008158,0.016265
-0.034156,-0.007864
-0.016233,-0.013425
-0.000781,-0.006184
0.000148,0.010307
0.001585,0.013372
0.015296,0.036935
0.027466,0.016306
0.020840,0.005193
-0.000602,-0.000725
-0.021151,-0.008197
0.001609,-0.025633
0.012429,-0.019822
0.021221,-0.006549
0.009455,0.005425
-0.015631,0.009897
-0.045733,-0.004873
-0.031510,0.006445
-0.007521,0.024603
0.007768,0.021699
0.015825,-0.011574
0.016894,-0.050713
0.001688,-0.041361
-0.013949,-0.004066
-0.012817,0.020716
0.002362,0.018177
0.022716,0.006533
0.039262,-0.004487
0.043450,-0.017284
0.039542,-0.024054
0.033350,-0.017519
0.016719,-0.002138
-0.004762,0.010135
-0.014274,0.011543
-0.005497,0.002502
0.008665,-0.008025
0.015868,-0.016155
0.016957,-0.025080
0.021847,-0.031160
0.035689,-0.025291
0.051735,-0.009672
0.047686,0.017239
0.029861,0.018395
0.001848,0.007223
-0.017980,-0.008419
-0.019093,-0.014244
0.005364,-0.002954
0.044790,0.012972
0.064709,0.013416
0.049242,-0.000658
0.021017,-0.008155
-0.007155,0.007781
-0.007085,0.021092
0.002735,0.018093
0.008933,0.000432
0.003649,-0.015169
0.002851,0.008319
-0.009008,-0.001611
-0.015262,-0.009589
-0.007819,-0.007116
0.010670,0.004473
0.023501,-0.004659
0.013912,-0.003580
-0.004325,-0.006823
-0.011425,-0.007975
-0.004572,0.000111
-0.006363,0.002123
0.001558,0.014822
0.002871,0.008619
-0.001063,-0.006440
-0.002697,-0.011520
0.006393,0.009603
0.003490,0.012436
-0.002874,0.005179
-0.002002,-0.005467
0.003191,-0.010398
0.026000,-0.017774
0.006756,0.002823
-0.012081,0.015282
-0.013279,0.006341
0.002017,-0.009249
-0.006613,-0.011105
-0.002156,-0.010330
-0.002052,-0.006898
-0.000079,0.000516
0.002477,0.008419
0.022082,0.047054
0.016449,0.031769
0.008698,0.007279
0.001762,-0.010533
-0.007360,-0.015386
-0.004381,-0.008105
-0.012303,-0.004360
-0.009018,-0.001561
-0.000224,-0.000762
0.006265,0.000615
-0.018069,-0.011933
-0.004751,-0.004908
0.002306,-0.000933
-0.000297,0.000786
-0.002264,0.002856
-0.000024,0.008380
0.009346,0.002182
0.008430,-0.002094
-0.003438,0.001484
-0.012596,0.002043
-0.001742,-0.003615
0.027154,0.001495
0.049379,0.016981
0.046727,0.022165
0.026783,0.012715
0.005805,-0.022426
-0.003572,-0.026810
-0.002552,-0.013287
0.003459,0.011782
0.004931,0.022421
0.003240,0.046562
-0.003001,0.018873
-0.002368,-0.000107
0.000790,-0.007114
0.001482,-0.007528
-0.013523,-0.020790
-0.006614,-0.014069
0.005602,-0.005135
0.014107,0.003486
0.004192,0.007297
0.003349,-0.005661
-0.003109,0.004046
0.006510,0.018255
0.008260,0.014845
-0.001904,-0.008951
-0.016518,-0.029636
-0.013084,-0.028538
-0.000218,-0.013766
0.008099,0.004250
0.003920,0.018286
-0.007180,0.021382
0.000922,0.008806
0.008754,-0.003486
0.007273,-0.002343
-0.002606,0.002711
0.018135,0.021993
0.016002,0.004429
0.023207,-0.004548
0.020103,-0.002046
-0.008971,0.001304
-0.041597,-0.027351
-0.058885,-0.020759
-0.032412,-0.001614
0.011797,0.015900
0.038084,0.012917
0.020494,0.003767
0.012316,-0.009193
0.002540,-0.004983
-0.003422,0.004783
-0.007479,0.006898
-0.003955,0.002494
0.013772,0.002650
0.034708,0.013221
0.047753,0.026956
0.053321,0.032356
0.053605,0.023924
0.052427,0.006483
0.051425,-0.000996
0.042495,0.015221
0.019410,0.034737
-0.017796,0.051610
-0.033858,0.025945
-0.030992,0.006059
-0.008780,-0.004481
0.023253,-0.013655
0.050377,-0.013869
0.064828,0.002864
0.062998,0.023732
0.042066,0.034841
0.010075,0.037189
-0.033335,0.014210
-0.035525,0.014336
-0.016359,0.013960
0.008603,0.004477
0.022541,-0.012634
0.029311,-0.028237
0.015893,-0.021294
-0.000252,-0.012726
-0.006633,-0.004438
-0.002862,0.011782
0.022699,0.017250
0.006652,0.013276
-0.002510,-0.002385
0.002498,-0.007423
0.002865,-0.001376
-0.039405,0.004136
-0.044510,-0.006266
-0.022017,-0.011533
0.019295,-0.002877
0.038591,0.010688
0.008641,0.009987
-0.045394,-0.006811
-0.079817,-0.019043
-0.077093,-0.020372
-0.046321,-0.025393
-0.008455,-0.033892
0.006122,-0.036314
0.002783,-0.020292
-0.003648,0.006981
-0.004416,0.027030
0.003129,0.027169
0.007039,0.000892
0.009479,-0.018877
0.005906,-0.010603
-0.006013,0.010574
-0.014041,0.011364
-0.014063,0.005567
-0.004363,0.004010
0.008460,0.006223
0.010194,-0.001783
-0.000227,-0.014017
0.000445,-0.012129
0.020188,0.000326
0.037743,0.007121
0.037984,0.007592
0.013041,0.001026
0.002335,0.004820
0.000209,0.000861
0.003029,-0.007024
0.002357,-0.005552
0.040124,-0.001857
0.020225,0.011520
0.002112,0.015689
-0.006427,0.006046
-0.009906,-0.011309
-0.048482,-0.029327
-0.028323,-0.024221
-0.000626,-0.006948
0.013579,0.009737
0.010519,0.014290
0.016402,0.013672
0.017303,0.004349
0.017056,-0.000723
0.005666,-0.001767
-0.013526,-0.001044
-0.043870,0.009843
-0.038141,0.006119
-0.015265,-0.002597
0.008457,-0.009319
0.020505,-0.004348
0.037523,-0.005504
0.038085,0.003494
0.026855,0.000537
-0.001655,-0.004062
-0.030235,-0.002848
-0.037876,-0.007139
-0.013481,0.002387
0.012673,0.012783
0.019603,0.014084
0.004146,-0.001923
0.010372,0.000053
-0.008840,-0.015265
-0.008508,-0.011366
0.001916,0.001352
0.007842,0.010932
-0.007376,-0.004149
-0.008115,-0.003128
-0.006679,0.000557
-0.002470,0.005037
0.003842,0.002246
-0.006064,-0.012329
0.008573,-0.007795
0.017731,0.008807
0.007361,0.015558
-0.012763,0.001521
-0.020977,0.003903
-0.013060,-0.005462
-0.000534,-0.005766
0.007083,-0.003336
0.005545,0.002256
0.000665,-0.013465
0.003750,-0.003175
0.008555,0.003232
0.004207,0.005034
-0.004839,0.001522
-0.003773,-0.007773
-0.007553,-0.014045
-0.004911,-0.009426
0.004708,0.003555
0.009405,0.010688
0.016945,-0.008191
0.001253,-0.005436
-0.001056,0.005038
0.003379,0.011126
0.000415,0.002437
-0.019134,-0.017984
-0.013932,-0.022414
-0.002245,-0.011487
0.006522,0.003654
0.007572,0.013991
0.009711,0.050059
0.004261,0.040466
0.002824,0.017340
0.001694,-0.011587
-0.002685,-0.028073
-0.020858,-0.044417
-0.015063,-0.015525
-0.001323,0.008234
0.009538,0.011507
0.008245,0.001463
0.003374,-0.002548
-0.000449,0.001337
0.006590,0.010617
0.010350,0.009734
-0.001038,-0.005792
-0.017252,-0.016371
-0.015398,-0.003932
-0.001208,0.016415
0.007239,0.019345
0.007035,-0.000654
0.012542,0.005401
-0.001227,-0.013805
-0.019789,-0.007464
-0.019598,0.006967
0.005788,0.007041
0.034826,0.007260
0.046079,0.028865
0.038934,0.052852
0.027529,0.051288
0.018820,0.034350
0.006049,-0.011374
-0.006386,-0.002497
-0.007951,0.003525
0.000660,0.003066
0.005885,0.000366
0.018572,-0.051410
0.025275,-0.049048
0.022790,-0.024658
-0.003135,0.015012
-0.026457,0.038515
-0.029005,0.049748
-0.001473,0.003381
0.016878,-0.026723
0.015040,-0.013834
-0.004888,0.016592
-0.025556,0.020583
-0.019180,-0.006569
0.015292,-0.027687
0.048666,-0.016179
0.066558,0.006104
0.046516,0.034612
0.048029,0.001777
0.040328,-0.023208
0.016742,-0.017804
-0.030122,0.007749
-0.039202,0.025668
-0.040444,0.032356
-0.003438,0.016523
0.022793,-0.009611
0.017705,-0.023560
-0.035768,-0.043253
-0.033573,-0.021641
-0.013709,-0.001410
0.007954,0.006453
0.018357,0.005522
0.025791,-0.003385
0.026461,0.011865
0.021300,0.019283
0.007232,0.006766
-0.016040,-0.013206
-0.038953,-0.024709
-0.031714,-0.029250
0.019776,-0.031455
0.072636,-0.024064
0.073559,-0.003131
0.039948,0.058538
0.003282,0.033875
-0.007669,-0.009099
-0.007858,-0.026491
-0.003418,-0.010499
0.015662,0.012214
0.041550,0.027076
0.045392,0.036126
0.018831,0.039682
-0.008954,0.037899
-0.018777,0.021908
-0.003274,0.011373
0.004642,-0.000499
-0.000377,-0.003159
