V, H 
0.041204,-0.040406
0.019063,-0.023938
0.000979,-0.000280
-0.005849,0.013448
-0.006246,0.011514
-0.024321,0.020918
-0.024866,0.005201
-0.016639,-0.006617
0.000102,-0.007941
0.015738,0.000361
0.025665,0.008996
0.032793,0.010096
0.036354,0.002569
0.035003,-0.009349
0.034970,-0.014579
0.071468,-0.037662
0.070392,-0.008104
0.041296,0.017512
-0.011740,0.019749
-0.050461,-0.001274
-0.071305,-0.011719
-0.043982,-0.018121
-0.013865,0.001651
0.008163,0.017493
0.021899,0.007064
0.016170,-0.005160
0.009856,-0.001012
-0.005264,0.009682
-0.013427,0.006357
-0.005379,-0.005309
0.027447,-0.011606
0.046429,-0.006980
0.043363,0.002597
0.007374,0.011967
-0.037528,0.006784
-0.059638,-0.014368
-0.060396,-0.027911
-0.055289,-0.025744
-0.037209,-0.025866
0.000812,-0.036510
-0.000729,-0.025774
0.004834,-0.028363
-0.006845,-0.021293
-0.008441,-0.002550
0.003516,0.020524
0.030302,0.019339
0.016861,0.015494
0.001389,0.005244
-0.005578,-0.004292
-0.007470,-0.007623
-0.004347,-0.012087
0.002995,-0.021352
0.008307,-0.026984
0.003673,-0.007382
-0.006876,0.023328
-0.012081,0.016952
-0.000158,0.005165
0.007385,-0.003260
-0.000172,-0.001789
-0.006591,0.000450
0.030811,0.036126
0.028631,0.033401
0.001748,0.025962
-0.025758,0.004120
-0.021089,-0.027812
0.016468,-0.035671
0.056860,-0.004006
0.071506,0.029934
0.060752,0.029968
0.044808,0.007477
-0.009929,-0.024340
-0.004706,-0.017508
0.006326,-0.005943
0.012723,0.000209
0.003936,0.006616
0.029222,-0.019912
0.006820,-0.011607
-0.008889,-0.006077
-0.016044,0.003406
-0.004737,0.011150
0.022851,0.003128
0.046771,-0.011950
0.056767,-0.008635
0.058887,0.010142
0.059464,0.017284
0.014323,0.023132
0.006781,0.008775
-0.002432,-0.001007
-0.006214,-0.007382
-0.001995,-0.006043
0.014918,-0.004845
0.013485,0.005396
0.005926,0.003052
0.000171,-0.004998
-0.004871,-0.005741
-0.011397,-0.017991
-0.020623,-0.007701
-0.017820,-0.000373
-0.001694,0.002573
0.016233,0.002558
0.015762,-0.012681
0.010360,-0.010022
-0.002386,-0.006739
-0.011155,-0.002737
-0.005950,0.005594
-0.002006,0.019767
0.008233,0.017008
0.007384,0.004160
0.000491,-0.005804
-0.005879,-0.008128
0.009342,-0.002055
0.005431,0.001807
0.000511,0.007024
-0.004769,0.005631
-0.004547,-0.003219
-0.012326,-0.003508
-0.006390,-0.004646
-0.008091,-0.000776
-0.006211,0.001750
0.006617,0.001099
0.054966,-0.023664
0.037848,-0.015250
0.001809,-0.002306
-0.025921,0.006797
-0.021751,0.007009
-0.031274,0.010143
-0.006237,0.009600
0.001488,0.008846
0.000813,0.004443
0.001510,-0.004669
0.019635,0.000240
0.014240,-0.010347
0.002521,-0.008784
-0.006634,0.001152
-0.006869,0.007895
-0.002371,-0.006039
-0.006015,-0.003402
-0.014666,-0.001651
-0.011621,-0.001586
0.007276,0.001076
0.019927,0.011859
0.020741,0.012551
0.008043,0.006958
-0.003864,-0.002672
-0.009328,-0.009605
-0.000817,-0.010302
-0.013444,-0.001852
-0.023483,0.002343
-0.016014,-0.000328
0.011412,-0.002001
0.045624,-0.001749
0.051304,0.003586
0.019142,0.006021
-0.028419,0.002505
-0.042787,-0.005144
0.000760,-0.006968
0.066295,-0.000671
0.095441,0.003529
0.073415,0.002989
0.034886,0.002500
0.017042,-0.001045
0.025661,-0.010932
0.044321,-0.017985
0.057931,-0.011332
0.061070,0.005765
0.035081,0.024441
0.020072,0.017399
0.000219,-0.002361
-0.013893,-0.012035
-0.011285,-0.004607
-0.002538,0.011981
0.008920,0.006740
0.003442,0.001068
-0.008707,0.001512
-0.008687,-0.000559
-0.009410,0.006878
0.003119,0.000816
0.004815,0.000204
-0.000802,0.000123
-0.005048,-0.001154
-0.002084,0.000011
0.007586,0.005166
0.016375,0.010394
0.017365,0.009823
0.015293,0.002329
0.041320,-0.002540
0.038279,-0.008145
0.020329,-0.007515
-0.005093,-0.000830
-0.023784,0.007434
-0.034438,0.019507
-0.026917,0.011251
-0.010715,-0.000806
0.005653,-0.007718
0.015959,-0.005343
0.000484,-0.001281
-0.006443,0.005222
-0.008554,0.006931
-0.000029,0.003522
0.009091,-0.004408
0.026576,-0.007686
0.013488,-0.006098
0.002059,0.001593
-0.004017,0.005201
-0.006180,0.001880
-0.004271,0.013195
-0.002004,0.009875
-0.000542,0.005226
-0.000652,-0.000898
0.000192,-0.006133
-0.006233,-0.018971
-0.004235,-0.016323
-0.002355,-0.009115
0.002611,0.001025
0.006092,0.010515
-0.019619,0.006482
-0.033187,-0.000765
-0.027034,-0.012390
0.003914,-0.012111
0.028820,0.003818
0.027487,0.021448
0.015606,0.029508
0.009706,0.028338
0.005379,0.021372
-0.003227,0.010474
-0.010091,-0.002027
-0.007796,-0.015019
0.003038,-0.027798
0.013209,-0.035362
0.012228,-0.031504
0.015550,-0.002787
0.003590,0.012823
-0.000828,0.015530
0.001386,0.003336
0.001582,-0.012594
-0.011257,-0.024996
-0.018212,-0.018606
-0.013409,-0.007220
0.000062,0.002472
0.011544,0.010310
0.011169,0.011551
0.016787,0.004341
0.013779,-0.005671
0.001107,-0.006489
-0.012880,0.000821
0.008004,0.008118
0.009097,0.009434
0.007717,0.006601
-0.000185,0.000479
-0.008598,-0.006143
-0.025290,-0.003976
-0.013354,-0.003844
0.001563,0.002383
0.009208,0.008308
0.006422,0.003019
-0.002332,0.003233
-0.014484,-0.003965
-0.020541,-0.002128
-0.011299,0.002106
0.012549,0.003118
0.032087,-0.016664
0.031639,-0.016757
0.010465,-0.009985
-0.012087,0.000508
-0.019113,0.009693
-0.005702,0.007477
0.003492,0.010182
0.003537,0.006308
-0.000956,-0.000857
-0.003786,-0.005804
-0.015069,0.007497
-0.003314,0.002018
0.013898,0.000413
0.015942,0.002947
-0.002683,-0.000102
-0.003860,-0.012897
-0.015721,-0.006860
-0.018100,0.005448
-0.008393,0.008547
0.012572,0.000664
0.023911,-0.003021
0.023193,-0.004579
0.009964,-0.001272
-0.002793,0.001173
-0.011572,0.001756
-0.013259,-0.012075
-0.017965,-0.008740
-0.014757,-0.002553
