V, H 
-0.095207,-0.027113
-0.046324,-0.001988
-0.004756,0.010095
0.018195,0.006427
0.021203,-0.003693
0.049317,-0.015581
0.036590,-0.016299
0.024926,-0.009341
0.002909,0.002005
-0.027020,0.010706
-0.051348,0.017050
-0.028913,0.011881
0.005689,0.002013
0.019110,-0.005346
0.006749,-0.005786
0.024758,0.004035
0.027457,0.003479
0.015023,-0.002395
-0.014673,-0.006502
-0.025341,-0.002205
-0.002467,0.007624
0.038841,0.015700
0.076259,0.016439
0.087277,0.007253
0.074424,-0.005676
0.032112,-0.014806
0.035206,-0.001639
0.033199,0.012666
0.007620,0.011844
-0.028384,-0.003325
-0.019653,-0.010782
-0.021706,-0.017893
-0.019911,-0.015068
-0.007804,-0.004635
0.017489,0.011574
0.025779,0.014235
0.016273,0.016463
-0.001244,0.006854
-0.011497,-0.004187
-0.009799,-0.009894
0.006267,-0.009235
0.031635,-0.002296
0.051288,0.007020
0.052169,0.010240
0.036516,0.001918
0.019743,-0.013555
0.017565,-0.023564
0.034157,-0.019854
0.055204,-0.009775
0.056605,-0.006206
0.049305,-0.000511
0.011250,-0.006216
-0.016955,-0.005859
-0.023645,0.000239
-0.003720,0.005723
-0.003786,0.002329
0.025428,0.000333
0.030900,0.000696
0.009544,0.001699
-0.023645,-0.000388
-0.038764,0.000081
-0.028477,0.002388
-0.000394,0.004524
0.019855,0.001195
0.015498,-0.003861
-0.003545,-0.008942
-0.015520,-0.005094
0.002720,-0.000722
0.023502,0.003472
0.008190,0.004473
0.003905,0.011226
0.005773,0.001598
0.015263,-0.002069
-0.001593,-0.000583
-0.019956,0.000206
-0.026648,-0.001594
0.016464,0.002328
0.035140,0.005673
0.013682,0.001828
-0.021581,-0.004968
-0.043705,-0.004861
-0.048840,0.002293
-0.034217,0.008521
0.012225,0.009405
0.078860,0.003976
0.126745,-0.010636
0.135859,-0.027594
0.118946,-0.026498
0.080814,-0.002390
0.013889,0.022453
-0.059986,0.028603
-0.099368,0.019343
-0.088685,0.008716
-0.049663,0.003435
-0.020566,-0.002553
-0.003517,-0.018806
-0.025576,-0.024896
-0.029495,-0.015094
-0.005030,0.004718
0.022817,0.018182
0.016651,0.009580
0.022649,0.002267
0.020591,-0.000056
0.003532,0.000698
-0.019972,-0.001046
-0.026799,-0.001864
-0.004875,-0.000037
0.027399,-0.002733
0.039201,-0.010803
0.026775,-0.013285
0.004306,-0.007934
-0.001288,-0.000161
0.004013,-0.000653
0.006691,-0.003446
-0.000467,-0.000569
-0.008949,0.004829
-0.017494,0.006435
-0.038169,0.006680
-0.069304,0.009890
-0.080625,0.010981
-0.040283,0.010541
-0.016609,-0.002996
-0.010174,-0.008056
-0.004805,-0.001390
0.008034,0.005437
0.009431,0.001481
0.018439,0.004535
0.016372,0.009592
0.007347,0.006865
-0.009680,-0.005318
-0.048724,-0.010856
-0.053031,-0.011518
-0.015937,-0.004651
0.034335,0.004057
0.035644,0.007974
0.014268,-0.005610
0.012221,-0.010240
0.040883,-0.008393
0.030463,-0.000828
-0.023729,0.007361
-0.067640,0.007622
-0.050312,0.007407
-0.008729,0.004214
0.014535,0.000198
0.019490,-0.004524
0.018514,-0.016181
0.023009,-0.011985
0.020941,-0.001518
0.011763,0.006521
-0.013582,0.006176
-0.020075,0.015775
-0.012246,0.009729
0.021929,0.003118
0.024393,-0.003017
-0.008577,-0.005068
-0.025499,-0.004763
-0.009802,-0.006400
0.011419,-0.009009
0.027384,-0.010644
0.044888,-0.011596
0.049491,0.002962
0.025566,0.004871
-0.012673,0.000503
-0.028219,-0.008000
-0.004365,-0.006244
0.019692,0.008870
-0.009056,0.020213
-0.075087,0.016606
-0.111178,0.007787
-0.083022,0.004350
-0.035024,0.001455
0.015385,0.000574
0.029796,0.002303
0.011909,0.004181
-0.019298,0.000011
0.014564,0.007440
0.005209,0.004328
-0.019098,0.001340
-0.033675,-0.005740
0.001064,-0.006654
0.016989,-0.027049
0.015137,-0.008453
-0.010446,0.003626
-0.008336,0.004863
0.006973,0.000381
-0.003328,-0.000417
-0.027650,0.006586
-0.044939,0.012165
-0.057068,0.005299
-0.053173,-0.009155
-0.027503,-0.004433
-0.019928,-0.002576
-0.034981,0.000704
-0.027793,0.000276
0.020611,-0.000276
0.050012,0.004672
0.038622,0.005377
-0.005573,0.001081
-0.031933,-0.003878
-0.018611,-0.003562
0.017493,0.000982
0.042435,0.005640
0.041817,0.008252
0.029474,0.004981
0.018129,-0.004831
0.020273,-0.011491
0.049774,-0.005723
0.086242,0.008188
0.083173,0.016639
0.035697,0.013448
-0.005838,0.006403
-0.000920,0.002292
0.014913,-0.001688
0.006896,-0.005008
-0.010136,-0.001778
-0.009948,0.001080
0.008125,0.006132
0.024421,0.006087
0.011718,0.001994
-0.016648,-0.005176
-0.027717,-0.011377
-0.037706,-0.005256
-0.055059,0.005022
-0.030854,0.006963
0.039150,-0.000784
0.084469,-0.005944
0.069646,-0.001083
0.036199,0.004759
0.029147,0.000569
0.043226,-0.012341
0.046580,-0.018328
0.034788,-0.021314
0.013062,-0.013306
-0.010529,0.000913
-0.023073,0.013594
0.000664,0.002875
0.014742,0.003731
0.009902,0.002506
-0.009813,0.000931
-0.016780,-0.001635
0.001949,-0.005533
0.026459,-0.011030
0.041948,-0.017236
0.049994,-0.019841
0.043366,-0.017971
0.045170,0.012215
0.038693,0.005933
0.031751,-0.003363
0.006903,-0.007100
-0.024884,-0.001055
-0.052463,0.005586
-0.058644,0.001404
-0.004913,-0.008251
0.088499,-0.009807
0.134956,-0.001926
0.067638,-0.030574
-0.005788,-0.021131
-0.040571,-0.010302
-0.010076,0.004512
0.030183,0.015035
0.028839,0.024969
-0.008181,0.011524
-0.031615,-0.001527
-0.011666,-0.007231
0.025091,-0.004397
0.003168,0.011356
-0.027649,0.011381
-0.036005,0.002456
-0.005118,-0.007076
0.028695,-0.007580
0.077154,-0.014762
0.057606,-0.003038
0.012740,0.006481
-0.021502,0.008261
-0.027288,0.000085
-0.022431,-0.007939
-0.014138,-0.012520
-0.008823,-0.006386
-0.008947,0.002995
0.001721,0.008088
0.012486,0.008807
0.036121,0.004884
0.027475,-0.000050
-0.008225,-0.002638
-0.031376,-0.001571
-0.030268,0.015779
-0.016573,0.011226
-0.013223,0.002686
-0.006123,-0.003115
0.012648,-0.004773
0.023271,-0.006024
0.013294,-0.011450
0.004317,-0.020196
0.014644,-0.024099
0.029122,-0.017725
0.035375,-0.004578
0.035483,0.005523
0.020689,0.004035
0.002985,-0.004896
0.013024,-0.007763
0.040042,-0.000723
0.061271,0.005989
0.078861,0.003784
0.079625,-0.003861
0.032427,-0.008073
-0.042532,-0.006942
-0.081730,0.001282
-0.044838,0.008004
0.008834,0.006226
0.043220,-0.003437
0.074514,-0.012076
0.092755,-0.010440
0.072530,0.004081
0.017724,0.023107
-0.031406,0.031217
-0.007715,0.018910
0.098734,-0.010135
0.184363,-0.039101
0.158357,-0.046732
0.069112,-0.031196
0.028537,-0.012599
0.063443,-0.002871
0.106851,0.002073
0.100480,0.003807
0.050422,-0.000365
0.021989,-0.003554
-0.022356,-0.008907
-0.029665,-0.005786
0.001151,0.003662
0.027261,0.008119
0.014289,-0.019130
0.012390,-0.020550
0.020830,-0.006273
0.006709,0.011598
-0.018655,0.013045
-0.024120,0.011686
-0.015170,0.006826
-0.012815,0.009769
-0.008439,0.007382
0.008635,-0.005757
0.041724,-0.009607
0.034717,-0.008790
0.000905,0.000516
-0.022475,0.005161
-0.017483,0.002456
-0.042183,-0.014659
-0.007931,-0.009141
0.033218,0.000620
0.039516,0.006404
-0.009653,0.004861
-0.041204,0.002991
-0.027180,-0.005685
0.016330,-0.008500
0.031192,-0.003610
0.006415,0.005100
-0.016758,0.018821
-0.029329,0.021204
-0.015743,0.015810
0.012064,0.003021
0.025451,-0.013762
0.007557,-0.026273
-0.008703,-0.024278
0.019365,-0.012441
0.073803,-0.009721
0.089927,-0.021677
0.052124,-0.031912
0.008659,-0.027390
-0.019224,-0.012287
-0.043207,0.004700
-0.060182,0.017073
-0.084382,0.010587
-0.101096,0.008585
-0.093243,0.005044
-0.015807,0.003113
0.089520,-0.001433
0.133027,0.021580
0.084541,0.004204
0.031265,-0.001897
-0.008638,0.001666
-0.048070,0.001787
-0.063981,-0.011816
-0.034073,-0.020749
0.001547,-0.020626
0.013604,-0.005112
0.009479,0.017049
0.048683,-0.006370
0.042517,-0.006395
0.008096,-0.006792
-0.024601,-0.001023
-0.020468,0.005913
-0.061533,0.012944
-0.056645,0.010906
-0.035352,0.007545
0.006368,0.002646
0.039109,-0.005913
0.071375,0.007596
0.047177,-0.000022
0.002374,-0.006530
-0.024225,-0.007758
-0.019408,0.000485
0.008316,-0.007811
0.016214,0.003055
0.013918,0.007611
0.000942,0.004891
-0.013806,-0.002997
-0.040320,0.010134
-0.029175,0.001661
-0.013669,-0.003544
0.000812,-0.003397
0.016622,0.000673
0.034751,-0.005217
0.017229,-0.001701
-0.016806,0.003014
-0.023009,0.005076
0.003345,0.000093
0.043315,-0.000290
0.028984,-0.000292
0.000106,0.003168
-0.018776,0.001754
-0.014156,-0.002681
0.003841,-0.001949
0.023307,0.002905
0.052614,0.005726
0.086200,0.007937
0.090779,0.011286
0.042158,0.005539
0.041747,0.009621
0.048093,0.012336
0.014406,0.005150
-0.039563,-0.009429
-0.040919,-0.002979
-0.044768,0.000382
-0.033801,0.006818
0.008414,0.007095
0.042727,-0.001118
0.040904,-0.005573
0.005310,-0.012380
-0.011503,-0.010309
-0.003827,-0.003754
0.009637,0.006499
-0.006070,-0.018256
-0.035818,-0.006497
-0.052175,0.000228
-0.026500,0.004138
0.035725,0.004560
0.078768,-0.002429
0.056709,-0.019792
0.022143,-0.042825
0.044820,-0.061869
0.093433,-0.074915
0.085982,-0.054480
0.043119,-0.044495
-0.011146,-0.016004
-0.030503,0.013346
-0.011449,0.025389
0.009979,0.021763
0.007167,0.015063
-0.026662,0.009223
-0.071981,0.003803
-0.083193,0.005286
-0.050654,-0.002895
-0.006347,0.002275
0.005945,0.001657
-0.012996,0.000969
-0.014425,-0.000203
0.040389,0.005422
0.077619,0.001378
0.050988,0.000033
-0.023190,-0.000076
-0.067772,-0.000351
-0.056214,-0.007059
0.000710,-0.006093
0.018665,0.000889
0.002682,0.008931
-0.008100,0.005360
-0.005505,0.003733
-0.025159,-0.005041
-0.031052,0.000006
0.009608,0.007666
0.042276,0.004434
0.004327,-0.007065
-0.069441,-0.012660
-0.103662,-0.007409
-0.074211,-0.001468
-0.027847,-0.003217
0.022338,-0.010142
0.041061,-0.007103
0.040138,-0.000229
0.000393,0.003803
-0.039799,0.002900
-0.041792,0.000629
-0.032644,0.002059
-0.052791,0.004292
-0.070741,0.004088
-0.022108,0.006511
0.067698,0.008905
0.117283,0.001028
0.123039,-0.012940
0.123833,-0.019525
0.108708,-0.016127
0.063342,-0.008500
0.035445,0.000097
0.069735,0.007590
0.121077,0.008119
0.128786,-0.001974
0.110658,-0.015442
0.098289,-0.021037
0.084990,-0.016112
0.076141,-0.006643
0.079805,0.002300
0.041288,0.006481
-0.010100,0.006123
-0.039790,-0.000470
-0.003684,-0.004407
0.037170,-0.002505
-0.003249,-0.005144
-0.042989,0.000433
-0.039139,0.005736
-0.000436,0.004949
0.034635,-0.001928
0.039366,-0.009166
0.028354,-0.011952
0.005126,-0.007437
-0.010519,0.002096
-0.013476,0.009157
-0.009484,0.008136
0.007001,-0.001891
0.047571,-0.015027
0.074057,-0.020692
0.027595,-0.017755
-0.055492,-0.014334
-0.103406,-0.012348
-0.109745,-0.008811
-0.081777,-0.006278
-0.037308,-0.005709
0.000617,-0.005727
0.018480,0.011417
0.011334,0.018078
-0.019123,0.003647
-0.020113,-0.014144
0.033023,-0.000747
0.030832,0.001740
-0.019916,0.001178
-0.062230,-0.002774
-0.025958,-0.003929
0.077272,0.003784
0.142101,0.013246
0.112746,0.012939
0.047871,0.007740
0.013625,0.005172
0.022146,-0.000051
0.013461,-0.007050
0.006885,-0.004882
0.000038,0.003832
-0.012940,0.006055
-0.053033,-0.005422
-0.021251,-0.005557
0.015061,0.001603
0.035669,0.009170
0.014866,0.005741
-0.044344,-0.010956
-0.079992,-0.026363
-0.063466,-0.026735
-0.038334,-0.016354
-0.035582,-0.006301
-0.046945,0.004065
-0.059486,0.017560
-0.064414,0.022430
