V, H 
-0.280968,-0.022016
-0.137999,-0.015015
-0.030123,-0.004581
0.033507,0.005939
0.058612,0.009929
0.056953,0.038833
0.084397,0.021223
0.076481,-0.004072
0.007001,-0.020441
-0.068650,-0.012293
-0.066794,-0.012995
-0.054895,0.012347
-0.022821,0.018331
0.009950,0.004471
0.029970,-0.015386
0.037796,-0.019763
0.040680,-0.001565
0.040016,0.020940
0.038062,0.025314
0.045163,0.009710
0.072874,-0.008298
0.116690,-0.009561
0.143528,0.010372
0.123335,0.033099
0.065301,0.033134
0.007802,0.006495
0.002626,-0.026539
0.073621,-0.042117
0.152732,-0.032881
0.143174,-0.013078
0.068448,-0.000861
0.048592,-0.003381
0.107885,-0.021167
0.135151,-0.047022
0.075020,-0.063894
0.004565,-0.060239
-0.000896,-0.041922
0.048013,-0.024446
0.094718,-0.019060
0.102430,-0.026211
0.069111,-0.039235
0.024887,-0.050627
0.019828,-0.055051
0.056586,-0.053105
0.082797,-0.047809
0.055629,0.020381
-0.014694,0.027131
-0.070795,0.021504
-0.057157,0.001154
0.028993,-0.020203
0.113653,-0.029586
0.122079,-0.029412
0.080600,-0.026986
0.063369,-0.022171
0.095696,-0.015065
0.125449,-0.010494
0.086475,-0.006198
0.017318,0.005420
0.010426,0.017791
0.048864,0.013740
0.054110,-0.006501
0.051744,-0.020772
0.095275,-0.016893
0.117540,-0.008112
0.061388,-0.007876
-0.025168,0.020843
-0.053274,0.005921
-0.047216,-0.006213
-0.006330,-0.007548
0.047926,-0.000008
0.067508,-0.005070
0.023486,-0.002964
-0.016132,-0.007184
-0.015041,-0.008452
-0.000425,0.001329
-0.006046,0.014183
-0.002591,0.023242
-0.000884,0.015278
0.006719,-0.004204
0.005276,-0.017588
-0.008521,-0.016728
0.011473,-0.006394
0.083528,0.008430
0.135336,0.022758
0.090987,0.029186
0.011294,0.022543
-0.023662,0.010689
-0.018514,-0.006571
-0.020519,-0.014534
-0.002615,-0.002730
0.065311,0.013145
0.148355,0.013830
0.181303,0.000389
0.142012,-0.013634
0.063056,-0.013792
-0.016101,0.001256
-0.072111,0.013455
-0.088842,0.010325
-0.058017,0.002047
-0.012622,0.000227
-0.008943,0.003948
-0.026335,0.012559
0.010984,0.026549
0.086191,0.036218
0.102858,0.030932
0.048248,0.015822
0.009375,0.004224
0.023044,0.001176
0.049875,0.007391
0.065627,0.022724
0.091006,0.027377
0.043617,0.026494
-0.009751,0.012993
-0.029369,-0.003918
-0.014285,-0.016382
0.009789,-0.019187
0.047320,-0.012854
0.102787,-0.005279
0.127108,-0.002477
0.103428,0.000861
0.074768,0.008214
0.066044,0.012262
0.092660,0.012248
0.142542,0.015564
0.128551,0.020029
0.027403,0.020082
-0.046750,0.019800
-0.043619,0.020115
-0.026057,0.015150
-0.006697,0.006399
0.046343,0.000857
0.111818,0.005384
0.129481,0.023499
0.077951,0.048530
0.006713,0.065727
-0.013342,0.060955
0.046451,0.039411
0.132505,0.029953
0.149836,0.045600
0.083955,0.064557
-0.033619,0.011910
-0.029417,0.003822
0.019126,-0.005948
0.035503,-0.008810
0.000617,-0.001072
-0.020684,-0.004824
0.002611,0.003510
0.028385,0.006198
-0.000364,0.006609
-0.029635,-0.000064
0.018886,0.009055
0.042859,-0.003358
0.013760,-0.001577
-0.019055,0.006596
-0.022611,0.004515
-0.025702,-0.010613
-0.025886,-0.012280
-0.025323,0.000956
-0.006186,0.013427
0.021815,0.007716
0.035581,-0.009819
0.023323,-0.014656
-0.014938,-0.001147
-0.063503,0.009279
-0.101846,0.002566
-0.106547,-0.011885
-0.055897,-0.019963
0.021308,-0.018210
0.063784,-0.013280
0.068570,-0.010396
0.068584,-0.002680
0.059802,0.016098
0.046593,0.035559
0.058941,0.040253
0.074491,0.030545
0.054379,-0.015891
0.026092,-0.004866
0.023727,0.011978
0.015561,0.015117
-0.019019,-0.000690
-0.019997,0.008305
-0.015552,-0.003587
0.003949,-0.004765
0.010110,-0.001167
0.001024,0.002706
-0.005991,0.014744
0.007520,0.016651
0.014866,0.008877
0.003302,-0.006521
-0.013118,-0.014038
-0.019873,-0.033560
-0.003895,-0.020919
0.001377,-0.015878
-0.008386,-0.007461
-0.004324,0.013099
0.003021,0.026213
0.016912,0.027097
0.017488,0.014556
-0.006830,-0.004120
-0.030788,-0.020702
0.003218,-0.016831
0.070180,0.009820
0.083819,0.022108
0.038346,-0.011614
0.000354,-0.064059
0.001885,-0.081590
-0.032693,-0.049851
-0.067224,-0.005831
-0.034122,0.021105
0.046516,0.025910
0.087523,0.008668
0.055800,-0.024676
-0.028901,-0.051926
-0.106608,-0.047572
-0.090521,-0.010750
-0.010063,0.044015
0.067608,0.048421
0.049950,0.015963
-0.021340,-0.019571
-0.060316,-0.028763
-0.035902,-0.016050
0.015514,-0.006022
0.052156,-0.009152
0.051781,-0.016313
0.018971,-0.021472
-0.014894,-0.001188
0.002103,-0.000930
0.034676,0.001898
0.026676,0.001110
-0.022674,-0.002487
-0.040781,0.000410
0.004697,0.011674
0.048313,0.019443
0.031381,0.017603
-0.006659,0.015396
-0.006150,0.018877
0.012576,0.021655
0.013407,0.019764
0.020804,0.020259
0.054588,0.028329
0.077835,0.021734
0.047684,0.019775
-0.009461,0.008220
-0.043647,-0.004574
-0.023350,-0.010915
0.052533,0.000509
0.086621,-0.005727
0.085527,-0.015833
0.034420,-0.012078
-0.068938,0.009043
-0.137630,0.024595
-0.103085,0.016312
-0.020787,-0.002056
0.045228,-0.001972
0.102344,0.020215
0.148527,0.039997
0.145534,0.038284
0.097231,0.018261
0.059985,-0.004430
0.057168,-0.015682
0.029308,-0.023664
-0.018529,-0.011726
-0.057982,-0.000769
-0.037609,0.003563
0.028304,0.003458
0.085816,0.005474
0.093074,0.011772
0.050645,0.014459
0.006565,0.004590
0.001157,-0.013238
0.023048,-0.023621
0.044583,-0.017200
0.044345,-0.001060
0.014781,0.011873
-0.014343,0.018189
-0.022585,0.018391
0.004624,0.014670
0.020339,0.006367
0.006384,-0.004288
-0.016730,-0.011292
-0.014618,-0.005457
0.013015,0.010792
0.028303,0.019475
0.015725,0.010748
0.001581,-0.003326
0.007114,-0.008412
0.033120,-0.004120
0.057177,0.002798
0.044300,0.006199
-0.006165,0.004533
-0.036559,-0.020417
-0.054722,-0.007152
-0.027838,0.010772
0.015105,0.013342
0.037040,-0.002267
0.016192,-0.015410
-0.001639,-0.009392
-0.014239,0.005776
-0.014862,0.012602
-0.000160,0.004662
0.030901,-0.013647
0.072078,-0.031104
0.106310,-0.037753
0.102021,-0.035607
0.049653,-0.030967
-0.017384,0.027922
-0.040324,0.022736
-0.026071,0.006937
0.009887,-0.011634
0.031816,-0.017004
0.032881,-0.029155
0.030953,-0.006180
0.031221,0.001318
-0.002748,-0.003092
-0.038147,-0.000943
-0.021278,0.008896
0.029043,0.015400
0.069975,0.016324
0.082174,0.016050
0.054847,0.012399
-0.002342,-0.000378
-0.041222,-0.014500
-0.022352,-0.012313
0.030024,0.005217
0.058370,0.013555
0.035266,0.007859
-0.003750,-0.012368
-0.023253,-0.016627
-0.009050,-0.002817
0.016686,0.014019
0.019367,0.017792
0.003447,0.008058
0.003307,-0.001248
0.030346,-0.001526
0.065432,0.001403
0.072661,-0.001796
0.024911,-0.011569
-0.051894,-0.018141
-0.092959,-0.012530
-0.080370,0.003874
-0.059983,-0.002940
-0.045548,0.011207
-0.016594,0.013511
0.020279,0.003098
0.031042,-0.011390
0.010820,-0.016425
-0.008974,-0.006015
-0.001369,0.005427
0.042034,-0.001925
0.104758,-0.020868
0.135259,-0.030293
0.118151,-0.032946
0.104435,-0.039413
0.095303,-0.038150
0.048891,-0.018730
0.012572,0.005434
0.037802,0.016687
0.060456,0.009529
0.034560,-0.007501
0.010673,-0.015352
0.012897,-0.003687
0.009586,0.014877
0.000066,0.015609
0.007516,-0.009020
0.016520,-0.039269
0.003996,-0.066236
0.003305,-0.067600
0.020182,-0.048263
0.025132,0.000402
0.001684,0.054044
-0.012787,0.071402
-0.070506,0.024230
-0.076740,-0.021944
-0.024749,-0.022940
0.045001,0.003481
0.126995,0.017174
0.217853,0.013515
0.267066,0.012786
0.231686,0.014384
0.126113,0.001697
-0.010104,0.001514
-0.039624,-0.013067
-0.006021,-0.014575
0.030655,-0.006841
0.023196,0.009450
0.008290,0.014602
0.013941,0.014838
0.052946,-0.000060
0.050164,-0.011128
-0.023207,-0.006995
-0.093844,0.003346
-0.091536,0.005954
-0.048611,-0.004179
-0.034831,-0.015619
-0.050605,-0.011174
-0.055254,-0.013635
-0.022167,-0.005091
0.011324,-0.003820
0.023371,-0.000745
0.009121,0.004182
0.015096,0.009131
-0.022775,0.007108
-0.046235,0.006087
-0.026879,0.003764
0.026055,-0.003384
0.069833,-0.013575
0.079509,-0.026424
0.062670,-0.040584
0.043809,-0.049106
0.046309,-0.050043
0.036496,-0.025474
0.010900,-0.030491
-0.030674,-0.029446
-0.034843,-0.009949
0.002275,0.021667
0.068160,-0.011820
0.100165,0.001615
0.079332,0.008505
0.002574,0.007821
-0.081261,-0.001331
-0.100809,-0.016610
-0.033678,-0.038071
0.072134,-0.063995
0.134741,-0.079858
0.122325,-0.070830
0.087707,-0.046420
0.058039,-0.030811
0.016562,-0.032510
-0.028226,-0.037958
-0.064660,-0.033836
-0.064681,-0.025851
0.006487,-0.028202
0.100755,-0.039929
0.143893,-0.044983
0.149177,-0.037497
0.149151,-0.032600
0.131231,-0.044503
0.106344,-0.063146
0.096736,-0.067320
0.080676,-0.057225
0.047941,-0.053522
0.023983,-0.065738
0.026245,-0.080990
0.050149,-0.084302
0.070258,-0.073339
0.076281,-0.053358
0.094212,-0.037188
0.122361,-0.041222
0.124874,-0.062436
0.099119,-0.079696
0.067806,-0.083163
0.050520,-0.079779
0.054339,-0.076974
0.062991,-0.076526
0.065504,-0.075944
0.030935,-0.021820
0.018236,-0.012593
-0.000913,-0.003481
-0.002925,0.004111
0.004086,0.007865
0.006728,0.002611
-0.026302,-0.005704
-0.010927,-0.009566
0.031527,-0.003603
0.027356,0.006942
-0.052651,0.020682
-0.069487,0.016697
-0.021917,0.009383
0.039549,0.002727
