V, H 
0.082241,0.315556
0.033013,0.070707
-0.028918,-0.056081
-0.045056,-0.066336
0.003043,-0.013447
0.037918,0.065158
0.003710,0.105363
-0.060267,0.057616
-0.076602,-0.017958
-0.012790,-0.022265
0.055872,-0.030529
0.086775,0.042249
0.022233,0.044255
-0.058360,-0.005756
-0.060856,-0.038739
-0.000209,0.073862
0.051716,0.052873
0.027878,-0.011313
-0.025788,-0.050371
-0.034965,-0.023055
-0.018840,0.031866
-0.042353,0.059713
-0.090115,0.045231
-0.097534,0.016320
-0.057429,0.006555
-0.018327,0.010646
-0.014663,-0.009816
-0.045175,-0.056712
-0.074651,-0.075976
-0.044990,-0.036085
0.047146,-0.011750
0.107190,0.018817
0.070292,0.010581
-0.023253,-0.007972
-0.083946,-0.017614
-0.077545,0.007293
-0.020053,0.046798
0.025184,0.059407
0.018089,0.008742
-0.017187,-0.050450
0.000951,-0.044530
0.066807,-0.024816
0.094499,0.003302
0.022570,0.022139
-0.081012,0.015772
-0.130320,0.040137
-0.048669,-0.005892
0.039489,-0.053369
0.038830,-0.056161
-0.015733,0.011435
-0.013917,0.103987
0.029061,0.150938
-0.000753,0.125043
-0.098306,0.066985
-0.146498,0.042718
-0.063158,-0.007492
0.009036,0.080138
0.007782,0.112000
-0.045057,0.030089
-0.041131,-0.084824
0.042098,-0.049359
0.144496,-0.031594
0.104949,-0.004393
-0.035923,0.005925
-0.119592,0.003318
-0.093931,0.026745
-0.054111,0.100735
-0.079487,0.160154
-0.133089,0.127982
-0.134560,0.049148
-0.070056,0.028707
-0.006830,0.085416
-0.009070,0.140747
-0.071658,0.126757
-0.129095,0.063607
-0.100003,0.014757
0.023931,0.000825
0.129790,-0.010556
0.105746,-0.038862
-0.004411,-0.060467
-0.055354,-0.072039
0.005355,-0.035341
0.076959,0.004439
0.047135,0.021194
-0.049082,0.012865
-0.063882,-0.040294
0.014455,-0.040348
0.086868,-0.012559
0.056483,0.021868
-0.043619,0.026861
-0.114187,0.004178
-0.102314,-0.022143
-0.017640,-0.036671
0.091391,-0.036221
0.141061,-0.040109
0.079980,-0.065149
-0.027642,-0.088553
-0.082660,-0.075232
-0.068250,-0.029091
-0.031896,-0.005331
-0.017383,0.003418
-0.035603,-0.054221
-0.022802,-0.060652
0.030102,-0.007837
0.044342,0.051220
-0.016039,0.071490
-0.092566,0.054990
-0.139751,0.017113
-0.174621,-0.039403
-0.218717,-0.099559
-0.239545,-0.132964
-0.188578,-0.124896
-0.110964,-0.088085
-0.082925,-0.052852
-0.055381,-0.045104
0.015418,-0.058219
0.089327,-0.028123
0.055834,0.031657
-0.024640,0.051572
-0.060383,0.003571
-0.060138,-0.058677
-0.078192,-0.084955
-0.114787,-0.084269
-0.125249,-0.077313
-0.106573,-0.033340
-0.092914,0.071798
-0.062019,0.152183
0.032274,0.115922
0.119086,0.020249
0.080148,-0.030656
-0.032695,-0.033253
-0.053139,-0.038302
0.044055,-0.050653
0.121584,-0.037723
0.111583,-0.003257
0.134333,0.026836
0.107154,0.026180
0.027085,0.015823
-0.064593,0.001914
-0.068656,-0.013942
-0.023856,-0.043924
0.013361,-0.052393
0.008082,-0.033036
0.018337,0.012014
0.015880,0.041209
-0.040670,-0.040434
