V, H 
-0.221095,-0.120891
-0.060576,-0.071139
0.010873,-0.007247
-0.006362,0.037551
-0.008132,0.036395
0.064197,0.004439
0.121834,-0.031448
0.063277,-0.059459
-0.062764,-0.081493
-0.119396,-0.097673
-0.080321,-0.091516
-0.058342,-0.037304
-0.115805,0.053297
-0.183030,0.110485
-0.178352,0.085247
-0.092644,0.017849
0.012548,-0.029127
0.050287,-0.041767
-0.005841,-0.030005
-0.082019,-0.012359
-0.015172,-0.033926
0.081020,-0.021095
0.118838,0.003319
0.027411,0.019789
-0.093649,0.014698
-0.133620,-0.016711
-0.057282,-0.076338
0.094899,-0.138318
0.195177,-0.145027
0.141285,-0.072063
-0.010804,0.011824
-0.109826,0.015788
-0.092837,-0.036764
-0.035135,-0.030738
-0.010300,0.065467
-0.013564,0.107248
-0.014420,0.113124
-0.006635,0.054778
0.013766,-0.008191
0.017694,-0.054810
-0.018726,0.111089
-0.038368,0.053239
-0.039385,0.020819
-0.018513,0.003799
0.026790,-0.024651
0.121228,-0.079116
0.093160,-0.069616
-0.015753,-0.011865
-0.093428,0.044256
-0.055245,0.042016
0.071267,-0.004791
0.195505,-0.038380
0.221670,-0.044405
0.123124,-0.052934
-0.014951,-0.080361
-0.097178,-0.114913
-0.051690,-0.124466
0.031019,-0.077503
0.064479,0.012906
0.013551,0.086468
-0.057359,0.102594
-0.023564,0.090873
0.115018,0.094816
0.182795,0.085223
0.075482,0.015762
-0.088762,-0.072137
-0.140954,-0.102835
-0.048776,-0.065013
0.093400,0.001374
0.170172,0.055559
0.128710,0.075145
0.020924,0.063158
-0.041154,0.046563
-0.031232,0.043856
-0.037457,0.040552
-0.091206,0.020126
-0.117023,-0.013184
-0.066746,-0.047645
0.050950,-0.055935
0.182837,-0.011626
0.213271,-0.049093
0.065358,0.017328
-0.104259,0.044881
-0.129772,0.031045
0.000673,-0.014673
0.159078,-0.001138
0.191255,-0.040256
0.042550,-0.033154
-0.116956,0.005180
-0.124829,0.030760
0.007980,0.037469
0.160882,0.059906
0.200105,0.101708
0.085648,0.118902
-0.065572,0.097126
-0.108308,0.085057
-0.053438,0.107475
-0.026051,0.103159
-0.064377,0.021317
-0.088729,-0.085569
-0.034406,-0.091556
0.059179,-0.064696
0.127200,-0.008955
0.078873,0.029120
-0.075963,0.031110
-0.189289,0.013421
-0.149176,0.019819
-0.025353,0.057038
0.012725,0.065209
-0.064096,0.016605
-0.096373,-0.032989
0.009471,-0.031239
0.146541,0.016265
0.152097,0.090730
0.007129,0.177406
-0.133382,0.231798
-0.134709,0.211305
-0.022472,0.143595
0.090217,0.098907
0.116665,0.102622
0.047914,0.119426
-0.037135,0.113067
-0.028742,0.091300
0.073878,0.087703
0.128060,0.119327
0.050260,0.164972
-0.062033,0.181470
-0.088629,0.161338
-0.012503,0.140102
0.108406,0.134833
0.174922,0.095277
0.117699,0.091577
-0.010940,0.062120
-0.082862,-0.005309
-0.049614,-0.072191
-0.004989,-0.138948
0.051210,-0.069061
0.049590,0.015329
-0.003817,0.042194
-0.046488,0.017430
-0.050495,-0.005891
-0.077911,-0.015647
-0.150270,-0.038396
-0.192569,-0.077509
-0.150003,-0.109164
-0.040946,-0.107652
0.074638,-0.063257
0.118719,-0.000933
0.051686,0.037105
-0.065809,0.036059
-0.123999,0.026428
-0.102023,0.035364
-0.083173,0.031523
-0.110054,-0.025167
-0.132372,-0.110761
-0.097479,-0.164848
0.005780,-0.150539
0.132852,-0.082415
0.175713,-0.011876
0.073884,0.021126
-0.027935,0.049840
-0.027061,0.027990
0.066212,0.024101
0.081754,0.016337
-0.016619,-0.016926
-0.136753,-0.001940
-0.132831,-0.023044
-0.034796,-0.033691
0.090193,-0.022402
0.106906,0.018363
-0.029471,0.060773
-0.178974,0.082393
-0.195712,0.094640
-0.085183,0.100726
0.050650,0.076889
0.118827,0.058258
0.096563,0.028608
0.003508,0.018587
-0.066470,-0.004085
-0.047424,-0.032314
0.013823,-0.010796
0.041630,0.075810
0.021073,0.160556
-0.016556,0.183387
-0.021166,0.163821
0.003395,0.148552
-0.022558,0.137782
-0.109829,0.099353
-0.160864,0.036260
-0.121132,-0.004739
-0.017039,-0.120647
0.063263,-0.038872
0.068801,0.054878
-0.000396,0.073249
-0.071576,-0.002866
-0.060093,-0.086390
0.039957,-0.106748
0.130821,-0.105875
0.114281,-0.135295
0.006608,-0.171681
-0.083749,-0.191779
-0.072358,-0.206760
0.026995,-0.197702
0.124142,-0.135753
0.142636,-0.057973
0.101605,0.031529
0.094417,0.023218
0.086259,0.002550
0.007532,-0.009566
-0.089824,-0.007971
-0.098384,-0.008231
-0.040983,-0.006817
-0.039528,0.022650
-0.121427,0.060529
-0.183453,0.062885
-0.147628,0.048224
-0.050791,0.054431
0.015764,0.062005
0.002156,0.051757
-0.056281,0.035850
-0.092793,-0.024044
-0.035176,-0.083555
0.051404,-0.094242
0.071701,-0.010176
0.001001,0.088568
-0.083371,0.009042
-0.110003,-0.040149
-0.071394,-0.050504
0.001799,0.008697
0.073532,0.053881
0.106066,0.028074
0.062746,-0.018592
-0.057223,-0.030314
-0.192966,-0.020162
-0.259275,-0.023680
-0.220930,-0.049135
-0.116967,-0.067462
-0.021384,-0.057124
0.009593,-0.046035
-0.014528,-0.050209
-0.042985,-0.045350
-0.045730,-0.046908
0.019440,-0.085940
0.181777,-0.124966
0.320820,-0.116756
0.267658,-0.077089
0.088946,-0.045471
0.027101,-0.037487
0.129654,-0.046454
0.175552,-0.052365
0.034288,-0.041047
-0.143318,-0.038797
-0.177331,-0.088375
-0.071160,-0.156156
0.053602,-0.150456
0.086686,-0.074313
0.025956,-0.025666
-0.006620,-0.039017
0.080514,-0.060163
0.182731,-0.056715
0.136035,-0.057774
-0.038463,-0.094789
-0.183930,-0.160536
-0.188314,-0.220232
-0.058960,-0.240099
0.056087,-0.185141
0.086108,-0.126163
0.025682,-0.042963
-0.042982,0.036948
-0.064568,0.071326
-0.004239,0.060852
0.118474,0.040496
0.179314,0.021666
0.086966,-0.019485
-0.072179,-0.092366
-0.124797,-0.083821
-0.075936,-0.095100
0.019552,-0.047715
0.072795,0.016875
0.038388,0.056747
-0.054799,0.069193
-0.112627,0.090872
-0.087442,0.136183
-0.041058,0.166887
-0.041417,0.145454
-0.080962,0.073144
-0.100142,-0.015578
-0.033465,-0.049271
0.097414,0.020354
0.153743,0.133844
0.098996,0.056787
-0.036535,0.061040
