mV, mH, stdV, stdH, varV, varH, mdV, mdH, zcrV, zcrH, rmsV,           corrV1, corrV2, corrV3, corrV4, corrV5, corrV6, corrV7, corrV8, corrV9, corrV10, corrV11, corrV12,          corrH1, corrH2, corrH3, corrH4, corrH5, corrH6, corrH7, corrH8, corrH9, corrH10, corrH11, corrH12,          ps1, ps2, ps3, ps4, ps5, ps6, ps7, ps8, ps9, ps10, ps11, ps12,           sEntropyV, sEntropyH, CfV, CfH, SfV, SfH, WfV, WfH, KfV, KfH, CtV, CtH, StV, StH, WtV, WtH, KtV, KtH, class
-0.447747,-1.124931,1.624651,1.407140,1.745857,1.488637,1.017678,1.482693,0.322241,-0.594555,1.610421,1.406360,-2.012208,-0.756618,-0.949694,-0.666168,0.760111,2.511562,1.903472,1.557834,-0.358139,-1.515181,-1.866969,-0.501777,-2.306296,-2.347249,-2.064238,0.024842,1.256055,1.480583,0.708630,0.641719,0.874800,0.423143,0.175564,-0.513648,-0.485434,2.480386,4.847051,1.352102,-0.831014,-0.254428,0.876752,-0.332536,-0.825810,0.459421,4.676247,4.104898,1.515319,-0.532935,0.437730,-0.031059,-0.041940,0.061150,0.076342,0.339520,0.315396,-1.666429,-1.661888,-1.655222,-1.659641,-5.801863,-6.038855,5.895504,6.093566,Stop
2.202742,-0.416122,1.310877,1.141880,1.344352,1.164042,1.001692,0.771237,-1.633427,-0.594555,1.340210,1.134121,-2.489098,-2.393150,-0.178369,1.844601,1.623991,0.756643,0.126796,0.530757,0.176095,1.144676,1.651278,1.767826,-2.679444,-1.858263,1.003690,1.516966,1.218792,0.520654,-0.151385,-0.585869,-0.556039,-1.430556,-1.162445,-0.343887,-0.476240,-0.270408,-0.408059,0.441488,1.859445,-0.433997,-0.289362,-0.773390,-0.731856,-0.885935,-0.643116,-0.335406,-0.107252,0.688830,-0.914536,-0.796344,-0.832687,0.878943,1.427204,-1.107458,-1.367061,-1.599693,-1.608115,-1.603649,-1.597133,-2.525727,-1.736055,2.335337,1.590680,Stop
0.795817,-1.275150,-0.770309,-0.710405,-0.784447,-0.748511,-0.659439,-0.637402,-1.633427,-0.594555,-0.768440,-0.703087,-0.106467,-0.069010,-0.153409,-0.786315,-0.709729,-0.389583,-0.198236,0.006648,0.691352,0.701052,0.616191,0.558525,-0.055473,-0.374964,-0.615928,-1.007790,-1.175134,-0.523545,0.602481,1.212082,1.307422,0.730229,0.295905,0.029463,-0.572154,-0.410569,-0.709858,-0.052224,0.390405,0.339826,-0.439173,-0.705642,0.024542,1.231400,0.361696,-0.436896,-0.709455,-0.473371,0.333492,-0.031634,-0.007938,-0.429101,-0.645542,0.477541,0.598986,-1.520381,-1.510000,-1.509279,-1.518674,-0.636575,-1.021483,0.585115,0.982672,Stop
-0.932841,1.004345,-0.059172,0.961100,-0.161479,0.950103,0.021070,0.875070,-1.144510,-1.707763,-0.060373,0.960110,0.763260,1.107951,0.417779,-1.492315,-0.603699,-0.228552,-0.454734,-1.157571,-0.784797,-0.332669,-0.291394,0.194034,0.334103,-0.109438,-1.274252,-0.791229,0.145968,0.948611,1.514958,1.410689,0.006195,-1.468578,-1.652500,-1.577499,1.318505,1.077156,0.763998,-0.477525,-0.563998,0.246561,1.550061,0.847474,-0.356009,-0.770623,-0.651617,-0.712068,-1.889646,-0.154186,-0.230443,-0.453523,-0.565777,-0.187389,-0.104420,-0.333456,-0.313661,-1.432377,-1.433537,-1.433758,-1.432386,-0.274257,-0.314232,0.267096,0.302848,Stop
-2.076673,1.100187,-0.018906,0.574977,-0.122962,0.512915,0.150101,0.434507,-0.655593,0.518654,0.016964,0.576268,-0.347623,-0.237304,0.520479,1.213090,1.428233,1.259295,0.894239,0.685164,0.167246,-0.404178,-0.419686,-0.464004,-0.310111,0.102799,0.175521,0.042013,-0.285379,-0.380554,-0.775420,-0.464500,0.562487,0.938487,0.351442,-0.258585,0.537811,0.425547,0.254689,-0.541005,-0.691674,-0.650040,-0.382776,-0.643829,-0.350298,-0.603012,0.785580,3.659755,1.988420,-0.302356,-0.023704,-0.576061,-0.462948,1.184829,0.327907,-0.647576,-0.243425,-1.376599,-1.370902,-1.370988,-1.377112,-0.165879,-0.098898,0.147139,0.082131,Stop
-0.459600,-0.694533,-0.889097,-1.515397,-0.877940,-1.386600,-0.549737,-1.632341,-1.144510,2.745072,-0.894120,-1.517670,1.977937,0.515653,-1.451413,-1.361596,-0.035278,0.136250,0.351435,0.433876,0.277438,-0.203760,-0.418835,-0.593914,-2.056038,-0.419976,0.880758,0.473788,-0.224784,-0.356521,-0.421521,-0.367766,-0.089755,0.169373,0.265339,0.195896,-0.016056,-0.854477,-0.544916,0.040410,-0.510989,-0.567862,-0.998468,-0.491058,-0.651782,-0.885835,-0.280557,-0.503941,0.438392,-0.594629,0.479236,0.127118,-0.087370,-0.444926,0.392186,0.651412,0.102808,-1.281575,-1.288349,-1.288626,-1.281704,-0.057770,-0.064906,0.049633,0.051875,Stop
0.193626,0.283283,-0.015040,-0.210534,-0.119245,-0.293401,-0.091747,-0.498641,-0.655593,2.188467,-0.024598,-0.217824,-0.263505,-0.218812,-0.552409,-0.193343,0.466582,0.871062,0.770091,-0.111151,-0.850036,-0.197976,0.239106,0.522944,0.959474,0.595575,-0.800443,-0.815769,-0.295093,0.063807,-0.114709,-0.035116,0.122762,0.235680,0.235240,0.346055,-0.192444,-0.484078,-0.106826,0.707557,1.880757,1.259258,0.197474,0.411623,1.065853,0.671748,0.045827,-0.674129,-0.910948,-0.290367,-0.009208,-0.353503,-0.558844,-0.191947,1.360130,-0.014313,-0.700554,-1.211117,-1.189427,-1.190391,-1.211753,0.096065,0.042231,-0.097926,-0.045161,Stop
2.177995,2.509953,1.909415,0.002593,2.128512,-0.085641,1.249802,0.322072,-0.166676,-0.037950,1.931869,0.049034,0.255798,-2.237811,-3.676570,1.545391,3.494490,3.081696,2.671517,1.034426,-2.825176,-3.342485,-2.566609,-0.964289,0.685728,1.375733,2.324873,1.934282,1.260024,0.509623,-0.907685,-1.108912,-0.138033,0.863290,0.802979,0.639843,1.431095,-0.419714,-0.738017,-0.051841,-0.901715,-0.004250,-0.240839,-0.789813,0.438123,-0.586452,-0.426311,-0.475934,-0.439378,0.563578,-0.875633,-0.754585,-0.828622,0.838785,0.454474,-1.252478,-1.066468,-1.114447,-1.129551,-1.129953,-1.115153,0.054601,0.101064,-0.054689,-0.103521,Stop
-1.221206,0.044747,2.131827,-0.788971,2.439472,-0.815939,1.699637,-0.484449,-0.655593,-1.151159,2.125092,-0.796781,-0.068674,-0.218824,-0.568390,-0.626781,-0.260333,0.204216,0.721771,0.688002,-0.994210,-1.694566,-1.485287,-0.881736,0.892991,0.516785,-0.877949,-1.151806,-0.654780,0.264524,0.899581,0.447855,-0.723350,-0.874559,-0.464676,0.162773,-0.046022,-0.773852,-0.457752,1.604603,3.275205,3.793649,0.869408,-0.613327,-0.169538,2.761930,0.131322,0.472820,-0.611452,-0.981450,1.571544,1.566909,1.611398,-1.354716,-1.818409,1.373190,1.742488,-1.056339,-1.054227,-1.055578,-1.057458,0.186444,0.162195,-0.185708,-0.161740,Stop
-0.875678,-1.127155,-0.526410,-0.350335,-0.583003,-0.425227,-0.389375,-0.374142,0.322241,-1.151159,-0.526294,-0.347414,-0.455709,-0.599099,-0.173634,0.705272,1.330120,0.978490,0.173082,-0.371326,-0.472756,-0.333242,-0.099384,0.357817,0.805845,0.509096,-0.738907,-0.942290,-0.688156,-0.099130,0.830405,1.197270,0.381344,-0.857663,-1.254595,-1.337456,-0.149709,-0.421935,-0.075154,-0.447947,-0.194008,0.224182,0.591622,0.319074,0.773988,0.570713,-0.627346,-0.507085,0.098213,-0.575595,0.465903,0.078534,0.119983,-0.381427,-0.729411,0.573535,0.827276,-0.976792,-0.973568,-0.974843,-0.977787,0.195660,0.169769,-0.193194,-0.168157,Stop
0.643850,-0.741582,-0.774137,-0.280808,-0.787507,-0.360107,-0.523883,-0.418674,0.322241,-0.037950,-0.775402,-0.284346,-0.105384,-0.679366,-0.785181,0.474525,1.146662,0.329698,-1.149910,-2.110254,-0.350563,1.174551,1.072268,0.264440,0.911738,-0.438491,-1.433376,-0.428521,0.258517,1.857850,2.136427,1.421978,-0.339490,-1.669727,-1.859300,-1.287112,-0.563403,-0.850873,-0.844129,-0.402285,-0.257544,-0.771955,-0.778112,-0.012277,-0.574572,-0.310630,-0.272600,-0.397155,0.101102,0.053430,-0.405589,-0.753069,-0.740598,0.893812,1.167514,-1.046756,-1.135130,-0.895757,-0.896792,-0.897778,-0.896686,0.187635,0.184635,-0.185258,-0.183497,Stop
0.196497,0.422358,-0.746176,0.936198,-0.765083,0.921095,-0.577281,1.281416,0.322241,-1.151159,-0.753213,0.928957,-0.189685,0.158270,0.049205,-0.048476,-0.020983,0.235620,0.511460,0.111027,-0.216638,-0.161576,-0.172635,-0.378208,1.001416,0.733216,-0.003337,-0.744806,-1.288283,-1.130269,-0.737534,-0.057288,1.144908,1.560933,1.110108,0.801520,-0.516188,-0.718666,-0.741457,-0.563615,-0.845650,-0.871419,-1.026309,1.076956,3.014116,-0.499631,-0.678499,-0.634826,-0.705120,1.222410,-1.212995,-0.657746,-0.404228,0.890687,-0.457554,-0.762234,-0.178497,-0.820957,-0.806779,-0.808016,-0.822182,0.222825,0.218389,-0.219377,-0.214765,Stop
-0.347984,2.847041,0.961923,0.733418,0.922619,0.689053,0.959732,1.407097,-0.166676,-0.594555,0.949360,0.786764,1.174830,1.089528,-1.071424,-1.445026,-0.688131,-0.133348,0.610767,1.322289,0.371770,-0.285592,0.035733,-0.553117,-1.653685,-2.506543,0.087707,3.085701,3.450652,1.770641,-1.019952,-2.111521,-0.476501,1.668014,1.489551,0.270035,-0.571669,1.383632,-0.010567,-0.807252,0.413879,-0.566949,-0.141623,0.013367,1.891964,1.028644,2.259789,0.410457,0.708599,-0.575684,0.507045,0.083240,0.148156,-0.289137,-0.531960,0.544736,0.726725,-0.729385,-0.748016,-0.748965,-0.730157,0.210784,0.202242,-0.207260,-0.200060,Stop
-0.942933,-1.784788,0.779205,-0.488098,0.712207,-0.551680,0.795640,-0.442794,0.322241,0.518654,0.774046,-0.467283,-0.121056,-0.085302,0.324282,0.506219,-0.066372,-0.479341,-0.088485,1.299838,1.878150,-0.083301,-1.099898,-2.131017,0.274189,-0.006881,-0.487179,0.512620,1.124039,1.178675,0.314684,0.082379,-0.247407,-0.725667,-0.999353,-0.676020,0.038199,-0.753077,-0.957060,-0.696135,-0.633547,0.453605,0.132083,-0.087076,-0.838568,0.759291,-0.015337,0.059598,1.014618,-0.168457,-0.186393,-0.728696,-0.632843,1.594631,0.912489,-1.119424,-0.812037,-0.675767,-0.665139,-0.666275,-0.676909,0.235470,0.232812,-0.231729,-0.228946,Stop
0.292852,-1.298781,-0.279959,-1.191896,-0.366497,-1.144233,-0.742749,-1.273289,1.788992,0.518654,-0.287924,-1.181999,1.397839,1.134933,-0.226117,-2.046849,-1.772740,0.086670,0.694929,0.075914,-0.933931,0.006700,0.753096,1.526850,-1.850298,-1.594028,1.198552,2.288205,1.351517,-0.030053,-0.566210,-0.885058,-0.940499,-0.039598,0.537874,0.884976,-0.474704,-0.907948,-0.569519,-0.776084,-0.513496,-0.821425,-0.863543,-0.588995,-0.259323,-0.163791,0.328281,-0.604514,-0.314530,0.482526,-0.795785,-0.842817,-0.842335,0.981556,1.242021,-1.326370,-1.440378,-0.570472,-0.591497,-0.592183,-0.571151,0.216616,0.217423,-0.213105,-0.214286,Stop
-0.074702,0.785973,-0.279710,-0.168427,-0.366272,-0.253004,-0.993466,-0.036738,2.277909,0.518654,-0.289062,-0.170766,-0.287442,0.143147,0.253747,0.057052,0.001343,0.234685,0.002337,-0.209541,-0.000843,0.157961,0.235894,0.187258,-0.794205,-0.225744,0.822042,0.630368,-0.366047,-1.716212,-1.096587,0.449678,1.471582,0.567201,-0.248272,-0.683647,0.729218,-0.204949,0.058165,0.311644,0.734773,1.184531,0.542263,-0.146465,1.443879,2.219165,-0.381303,-0.088602,0.412820,-0.759495,0.847741,0.563289,0.508706,-0.807708,-0.832890,1.011734,1.066932,-0.510235,-0.495048,-0.496300,-0.511198,0.258291,0.239159,-0.253236,-0.234698,Stop
0.111522,0.795259,-0.593255,1.354362,-0.639481,1.423040,-0.809925,1.791330,-0.166676,-0.594555,-0.601265,1.350076,0.104006,0.190855,-0.353047,-0.512993,-0.235826,-0.225958,0.023981,0.595231,0.786812,0.453213,0.500071,0.067394,-0.659986,-1.538323,-1.940132,-0.538110,0.729085,2.037869,2.343445,1.310324,-0.231294,-0.713411,-0.695614,-0.756963,-0.450888,-0.901019,-0.724557,0.101010,0.013041,-0.330388,-1.049697,-0.752327,-0.731176,-0.787947,-0.654921,-0.629292,-0.769320,1.572808,-1.368870,-0.332099,-0.375026,-0.143688,0.477224,0.153539,-0.133608,-0.416060,-0.428070,-0.429074,-0.416949,0.250554,0.244314,-0.245552,-0.239845,Stop
-0.371223,0.286329,0.274653,0.013317,0.168350,-0.074970,0.089085,-0.303723,-1.633427,-0.037950,0.264592,0.005897,0.041167,-0.041923,-0.557113,-1.230520,-1.360287,-1.245982,-1.107859,-0.498382,1.582364,2.126891,2.269512,2.761583,0.431374,0.018598,-0.748094,0.017269,-0.253621,-1.244537,-0.896962,0.248761,1.043119,0.774075,0.602854,0.341535,-0.559774,-0.787224,-0.319211,-0.576949,0.450945,-0.681985,-0.776633,-0.894437,-0.918518,-0.699034,-0.755518,-0.474527,-0.012495,0.129521,-0.483560,-0.740742,-0.734693,0.593626,0.861501,-0.911117,-1.086078,-0.349550,-0.363900,-0.364617,-0.350449,0.242589,0.250537,-0.238226,-0.245938,Stop
-0.452802,0.771444,-1.033675,-1.935539,-0.987649,-1.673167,-1.343697,-1.790716,0.811158,-0.037950,-1.038211,-1.934423,0.137755,0.184493,-0.010077,-0.351724,-0.084765,0.181952,0.223801,-0.045949,-0.049130,0.116455,0.141667,0.121040,0.560269,0.234568,-0.789100,-1.343389,-1.112382,-0.609709,-0.063213,-0.313252,-0.348157,0.177750,0.252532,0.030209,0.604972,0.097833,-0.256646,0.097027,0.687405,0.303888,-0.500443,-0.505210,0.108083,-0.313654,-0.485574,-0.623323,-0.703364,-0.767985,0.854151,0.676292,0.533358,-1.091175,-1.039791,1.240323,1.199832,-0.278946,-0.268519,-0.269604,-0.279738,0.266856,0.250379,-0.261436,-0.245590,Stop
0.670534,-0.648986,-1.600984,-0.598403,-1.374846,-0.650460,-1.561547,-0.215024,2.766826,-0.594555,-1.597065,-0.602670,0.638248,-0.048798,-0.422145,-0.216822,0.181887,-0.151376,-0.021282,0.268488,0.644025,0.234301,0.013518,0.050023,0.161847,-0.496727,-0.679254,-0.007119,0.583302,1.286395,1.132368,0.243140,-0.981070,-0.893391,-0.261070,0.566961,0.489286,-0.427079,-0.545726,-0.615726,-0.329203,-0.446515,-0.562800,-0.646830,-0.569609,-0.325952,-0.168877,-0.523916,0.602873,0.439142,-0.806307,-0.813136,-0.787750,0.752342,0.428442,-1.188837,-1.073764,-0.188049,-0.189818,-0.190660,-0.188883,0.261110,0.258500,-0.255820,-0.253331,Stop
